Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,0,FRA,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Starting goalkeeper,1.0,1,0,0,FRA,1.0,COUNIL L,0 - 0,480,FRA,8:00
Sprint won possession,4.0,1,0,0,FRA,1.0,van der SLOOT S,0 - 0,480,NED,8:00
20 sec. exclusion in centre,8.0,1,0,0,FRA,1.0,BATTU A,0 - 0,466,FRA,7:46
Extra player shot - Goal,2.0,1,1,0,FRA,1.0,SMIT Y,1 - 0,453,NED,7:33
20 sec. exclusion in centre,6.0,1,1,0,FRA,1.0,STOMPHORST N,1 - 0,431,NED,7:11
20 sec. exclusion in centre,2.0,1,1,0,FRA,1.0,MILLOT E,1 - 0,385,FRA,6:25
Extra player shot - Goal,9.0,1,2,0,FRA,1.0,MEGENS M,2 - 0,369,NED,6:09
Turnover foul,12.0,1,2,0,FRA,1.0,DAULE A,2 - 0,340,FRA,5:40
Action shot - Missed,2.0,1,2,0,FRA,1.0,SMIT Y,2 - 0,330,NED,5:30
Turnover foul,3.0,1,2,0,FRA,1.0,BACHELIER L,2 - 0,322,FRA,5:22
Action shot - Saved,4.0,1,2,0,FRA,1.0,van der SLOOT S,2 - 0,311,NED,5:11
Action shot - Blocked,5.0,1,2,0,FRA,1.0,GUILLET L,2 - 0,283,FRA,4:43
Action shot - Blocked,3.0,1,2,0,FRA,1.0,GENEE D,2 - 0,257,NED,4:17
Penalty foul,11.0,1,2,0,FRA,1.0,BARBIEUX M,2 - 0,256,FRA,4:16
Penalty shot - Goal,4.0,1,3,0,FRA,1.0,van der SLOOT S,3 - 0,256,NED,4:16
20 sec. exclusion in centre,11.0,1,3,0,FRA,1.0,KLAASSEN L,3 - 0,237,NED,3:57
Action shot - Goal,9.0,1,4,0,FRA,1.0,MEGENS M,4 - 0,202,NED,3:22
Action shot - Missed,9.0,1,4,0,FRA,1.0,SACRE A,4 - 0,177,FRA,2:57
Action shot - Saved,9.0,1,4,0,FRA,1.0,MEGENS M,4 - 0,166,NED,2:46
Turnover foul,7.0,1,4,0,FRA,1.0,VALVERDE C,4 - 0,138,FRA,2:18
Steal,4.0,1,4,0,FRA,1.0,van der SLOOT S,4 - 0,138,NED,2:18
Action shot - Saved,4.0,1,4,0,FRA,1.0,van der SLOOT S,4 - 0,125,NED,2:05
5m shot - Goal,11.0,1,5,0,FRA,1.0,KLAASSEN L,5 - 0,110,NED,1:50
Centre shot - Saved,3.0,1,5,0,FRA,1.0,BACHELIER L,5 - 0,82,FRA,1:22
5m shot - Goal,11.0,1,6,0,FRA,1.0,KLAASSEN L,6 - 0,65,NED,1:05
Turnover foul,2.0,1,6,0,FRA,1.0,MILLOT E,6 - 0,52,FRA,0:52
Centre shot - Goal,12.0,1,7,0,FRA,1.0,JOUSTRA K,7 - 0,41,NED,0:41
Turnover foul,3.0,1,7,0,FRA,1.0,BACHELIER L,7 - 0,32,FRA,0:32
20 sec. exclusion in centre,3.0,1,7,0,FRA,1.0,BACHELIER L,7 - 0,19,FRA,0:19
Action shot - Saved,5.0,1,7,0,FRA,1.0,GENEE A,7 - 0,4,NED,0:04
5m shot - Missed,9.0,1,7,0,FRA,1.0,MEGENS M,7 - 0,1,NED,0:01
Starting goalkeeper,1.0,1,7,0,FRA,2.0,AARTS L,7 - 0,480,NED,8:00
Starting goalkeeper,1.0,1,7,0,FRA,2.0,COUNIL L,7 - 0,480,FRA,8:00
Sprint won possession,4.0,1,7,0,FRA,2.0,van der SLOOT S,7 - 0,480,NED,8:00
5m shot - Goal,11.0,1,8,0,FRA,2.0,KLAASSEN L,8 - 0,460,NED,7:40
5m shot - Missed,8.0,1,8,0,FRA,2.0,BATTU A,8 - 0,436,FRA,7:16
5m shot - Blocked,10.0,1,8,0,FRA,2.0,KOOLHAAS I,8 - 0,406,NED,6:46
Action shot - Saved,2.0,1,8,0,FRA,2.0,MILLOT E,8 - 0,380,FRA,6:20
Action shot - Goal,4.0,1,9,0,FRA,2.0,van der SLOOT S,9 - 0,366,NED,6:06
5m shot - Saved,9.0,1,9,0,FRA,2.0,SACRE A,9 - 0,337,FRA,5:37
Action shot - Goal,3.0,1,10,0,FRA,2.0,GENEE D,10 - 0,313,NED,5:13
Turnover foul,9.0,1,10,0,FRA,2.0,SACRE A,10 - 0,302,FRA,5:02
Steal,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,302,NED,5:02
Turnover foul,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,283,NED,4:43
Steal,3.0,1,10,0,FRA,2.0,BACHELIER L,10 - 0,283,FRA,4:43
20 sec. exclusion in field,8.0,1,10,0,FRA,2.0,SEVENICH V,10 - 0,282,NED,4:42
Turnover foul,4.0,1,10,0,FRA,2.0,SACRE A,10 - 0,246,FRA,4:06
Steal,5.0,1,10,0,FRA,2.0,GENEE A,10 - 0,246,NED,4:06
Turnover foul,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,239,NED,3:59
Steal,2.0,1,10,0,FRA,2.0,MILLOT E,10 - 0,239,FRA,3:59
5m shot - Saved,2.0,1,10,0,FRA,2.0,MILLOT E,10 - 0,210,FRA,3:30
5m shot - Goal,3.0,1,11,0,FRA,2.0,GENEE D,11 - 0,184,NED,3:04
5m shot - Saved,2.0,1,11,0,FRA,2.0,SMIT Y,11 - 0,131,NED,2:11
Turnover foul,2.0,1,11,0,FRA,2.0,SMIT Y,11 - 0,121,NED,2:01
Steal,12.0,1,11,0,FRA,2.0,DAULE A,11 - 0,121,FRA,2:01
20 sec. exclusion in centre,9.0,1,11,0,FRA,2.0,MEGENS M,11 - 0,102,NED,1:42
Time-Out,,1,11,0,FRA,2.0,,11 - 0,102,FRA,1:42
Action shot - Saved,2.0,1,11,0,FRA,2.0,MILLOT E,11 - 0,73,FRA,1:13
Centre shot - Goal,3.0,1,12,0,FRA,2.0,GENEE D,12 - 0,62,NED,1:02
5m shot - Post,2.0,1,12,0,FRA,2.0,MILLOT E,12 - 0,34,FRA,0:34
Penalty foul,9.0,1,12,0,FRA,4.0,SACRE A,12 - 0,177,FRA,2:57
Turnover foul,6.0,1,12,0,FRA,4.0,MAHIEU G,12 - 0,156,FRA,2:36
Steal,1.0,1,12,0,FRA,4.0,AARTS L,12 - 0,156,NED,2:36
Action shot - Saved,7.0,1,12,0,FRA,4.0,NIJHUIS M,12 - 0,142,NED,2:22
Turnover foul,2.0,1,12,0,FRA,4.0,MILLOT E,12 - 0,123,FRA,2:03
Steal,5.0,1,12,0,FRA,4.0,GENEE A,12 - 0,123,NED,2:03
20 sec. exclusion in centre,3.0,1,12,0,FRA,2.0,BACHELIER L,12 - 0,11,FRA,0:11
Extra player shot - Saved,3.0,1,12,0,FRA,2.0,GENEE D,12 - 0,1,NED,0:01
Starting goalkeeper,13.0,1,12,0,FRA,3.0,WILLEMSZ D,12 - 0,480,NED,8:00
Starting goalkeeper,1.0,1,12,0,FRA,3.0,COUNIL L,12 - 0,480,FRA,8:00
Sprint won possession,4.0,1,12,0,FRA,3.0,van der SLOOT S,12 - 0,480,NED,8:00
Turnover foul,11.0,1,12,0,FRA,3.0,KLAASSEN L,12 - 0,451,NED,7:31
Steal,9.0,1,12,0,FRA,3.0,SACRE A,12 - 0,451,FRA,7:31
Action shot - Goal,11.0,1,13,0,FRA,3.0,KLAASSEN L,13 - 0,406,NED,6:46
Turnover foul,6.0,1,13,0,FRA,3.0,MAHIEU G,13 - 0,384,FRA,6:24
20 sec. exclusion in field,6.0,1,13,0,FRA,3.0,STOMPHORST N,13 - 0,355,NED,5:55
Action shot - Goal,2.0,1,13,1,FRA,3.0,MILLOT E,13 - 1,334,FRA,5:34
Action shot - Goal,5.0,1,14,1,FRA,3.0,GENEE A,14 - 1,317,NED,5:17
20 sec. exclusion in centre,11.0,1,14,1,FRA,3.0,KLAASSEN L,14 - 1,298,NED,4:58
Extra player shot - Saved,7.0,1,14,1,FRA,3.0,VALVERDE C,14 - 1,283,FRA,4:43
20 sec. exclusion in centre,2.0,1,14,1,FRA,3.0,SMIT Y,14 - 1,265,NED,4:25
5m shot - Missed,3.0,1,14,1,FRA,3.0,BACHELIER L,14 - 1,262,FRA,4:22
20 sec. exclusion in centre,10.0,1,14,1,FRA,3.0,DESCHAMPT Y,14 - 1,243,FRA,4:03
5m shot - Saved,9.0,1,14,1,FRA,3.0,MEGENS M,14 - 1,228,NED,3:48
Turnover foul,10.0,1,14,1,FRA,3.0,KOOLHAAS I,14 - 1,176,NED,2:56
Steal,3.0,1,14,1,FRA,3.0,BACHELIER L,14 - 1,176,FRA,2:56
5m shot - Saved,7.0,1,14,1,FRA,3.0,VALVERDE C,14 - 1,148,FRA,2:28
Turnover foul,9.0,1,14,1,FRA,3.0,MEGENS M,14 - 1,131,NED,2:11
5m shot - Saved,4.0,1,14,1,FRA,3.0,SACRE A,14 - 1,104,FRA,1:44
Turnover foul,10.0,1,14,1,FRA,3.0,KOOLHAAS I,14 - 1,84,NED,1:24
Steal,4.0,1,14,1,FRA,3.0,SACRE A,14 - 1,84,FRA,1:24
20 sec. exclusion in centre,7.0,1,14,1,FRA,3.0,NIJHUIS M,14 - 1,58,NED,0:58
Time-Out,,1,14,1,FRA,3.0,,14 - 1,58,FRA,0:58
Turnover foul,2.0,1,14,1,FRA,3.0,MILLOT E,14 - 1,47,FRA,0:47
Steal,4.0,1,14,1,FRA,3.0,van der SLOOT S,14 - 1,47,NED,0:47
5m shot - Post,7.0,1,14,1,FRA,3.0,NIJHUIS M,14 - 1,23,NED,0:23
Action shot - Missed,12.0,1,14,1,FRA,3.0,DAULE A,14 - 1,4,FRA,0:04
Time-Out,,1,14,1,FRA,3.0,,14 - 1,4,NED,0:04
20 sec. exclusion in centre,3.0,1,14,1,FRA,3.0,BACHELIER L,14 - 1,1,FRA,0:01
Exclusion with substitution,3.0,1,14,1,FRA,3.0,BACHELIER L,14 - 1,1,FRA,0:01
Penalty shot - Goal,4.0,1,15,1,FRA,3.0,van der SLOOT S,15 - 1,1,NED,0:01
Starting goalkeeper,1.0,1,15,1,FRA,4.0,AARTS L,15 - 1,480,NED,8:00
Starting goalkeeper,1.0,1,15,1,FRA,4.0,COUNIL L,15 - 1,480,FRA,8:00
Sprint won possession,4.0,1,15,1,FRA,4.0,van der SLOOT S,15 - 1,480,NED,8:00
Turnover foul,2.0,1,15,1,FRA,4.0,SMIT Y,15 - 1,464,NED,7:44
Steal,8.0,1,15,1,FRA,4.0,BATTU A,15 - 1,464,FRA,7:44
5m shot - Blocked,12.0,1,15,1,FRA,4.0,DAULE A,15 - 1,434,FRA,7:14
5m shot - Post,3.0,1,15,1,FRA,4.0,GENEE D,15 - 1,419,NED,6:59
5m shot - Saved,2.0,1,15,1,FRA,4.0,MILLOT E,15 - 1,389,FRA,6:29
20 sec. exclusion in field,6.0,1,15,1,FRA,4.0,MAHIEU G,15 - 1,382,FRA,6:22
Action shot - Goal,9.0,1,16,1,FRA,4.0,MEGENS M,16 - 1,361,NED,6:01
5m shot - Blocked,9.0,1,16,1,FRA,4.0,SACRE A,16 - 1,331,FRA,5:31
5m shot - Post,7.0,1,16,1,FRA,4.0,VALVERDE C,16 - 1,305,FRA,5:05
Turnover foul,8.0,1,16,1,FRA,4.0,SEVENICH V,16 - 1,297,NED,4:57
Steal,9.0,1,16,1,FRA,4.0,MEGENS M,16 - 1,297,NED,4:57
20 sec. exclusion in field,10.0,1,16,1,FRA,4.0,DESCHAMPT Y,16 - 1,290,FRA,4:50
Turnover foul,4.0,1,16,1,FRA,4.0,van der SLOOT S,16 - 1,281,NED,4:41
Steal,11.0,1,16,1,FRA,4.0,BARBIEUX M,16 - 1,281,FRA,4:41
Turnover foul,9.0,1,16,1,FRA,4.0,SACRE A,16 - 1,254,FRA,4:14
Steal,6.0,1,16,1,FRA,4.0,STOMPHORST N,16 - 1,254,NED,4:14
Action shot - Missed,3.0,1,16,1,FRA,4.0,GENEE D,16 - 1,235,NED,3:55
5m shot - Saved,12.0,1,16,1,FRA,4.0,DAULE A,16 - 1,205,FRA,3:25
20 sec. exclusion in field,2.0,1,16,1,FRA,4.0,SMIT Y,16 - 1,198,NED,3:18
Steal,8.0,1,16,1,FRA,4.0,SEVENICH V,16 - 1,181,NED,3:01
Penalty foul,10.0,1,16,1,FRA,4.0,DESCHAMPT Y,16 - 1,181,FRA,3:01
Exclusion with substitution,10.0,1,16,1,FRA,4.0,DESCHAMPT Y,16 - 1,181,FRA,3:01
Penalty shot - Goal,8.0,1,17,1,FRA,4.0,SEVENICH V,17 - 1,177,NED,2:57
Action shot - Post,11.0,1,17,1,FRA,4.0,KLAASSEN L,17 - 1,96,NED,1:36
Centre shot - Goal,6.0,1,17,2,FRA,4.0,MAHIEU G,17 - 2,62,FRA,1:02
5m shot - Post,11.0,1,17,2,FRA,4.0,KLAASSEN L,17 - 2,36,NED,0:36
Turnover foul,9.0,1,17,2,FRA,4.0,SACRE A,17 - 2,8,FRA,0:08
Steal,6.0,1,17,2,FRA,4.0,STOMPHORST N,17 - 2,8,NED,0:08
Centre shot - Saved,12.0,1,17,2,FRA,4.0,JOUSTRA K,17 - 2,1,NED,0:01
Starting goalkeeper,1.0,2,0,0,JPN,1.0,AOKI M,0 - 0,480,JPN,8:00
Starting goalkeeper,13.0,2,0,0,JPN,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Sprint won possession,4.0,2,0,0,JPN,1.0,van der SLOOT S,0 - 0,480,NED,8:00
20 sec. exclusion in centre,6.0,2,0,0,JPN,1.0,STOMPHORST N,0 - 0,439,NED,7:19
Action shot - Post,7.0,2,0,0,JPN,1.0,INABA A,0 - 0,421,JPN,7:01
Centre shot - Goal,4.0,2,1,0,JPN,1.0,van der SLOOT S,0 - 1,409,NED,6:49
Turnover foul,7.0,2,1,0,JPN,1.0,INABA A,0 - 1,395,JPN,6:35
20 sec. exclusion in centre,11.0,2,1,0,JPN,1.0,TOKUMOTO M,0 - 1,385,JPN,6:25
Centre shot - Goal,8.0,2,2,0,JPN,1.0,SEVENICH V,0 - 2,383,NED,6:23
Turnover foul,12.0,2,2,0,JPN,1.0,SUZUKI K,0 - 2,362,JPN,6:02
Counter attack - Goal,2.0,2,3,0,JPN,1.0,SMIT Y,0 - 3,356,NED,5:56
Turnover foul,7.0,2,3,0,JPN,1.0,INABA A,0 - 3,333,JPN,5:33
Steal,8.0,2,3,0,JPN,1.0,SEVENICH V,0 - 3,333,NED,5:33
Counter attack - Goal,4.0,2,4,0,JPN,1.0,van der SLOOT S,0 - 4,327,NED,5:27
Time-Out,,2,4,0,JPN,1.0,,0 - 4,327,JPN,5:27
20 sec. exclusion in centre,3.0,2,4,0,JPN,1.0,GENEE D,0 - 4,308,NED,5:08
Action shot - Saved,10.0,2,4,0,JPN,1.0,NORO M,0 - 4,300,JPN,5:00
Centre shot - Saved,8.0,2,4,0,JPN,1.0,SEVENICH V,0 - 4,284,NED,4:44
5m shot - Blocked,2.0,2,4,0,JPN,1.0,ARIMA Y,0 - 4,256,JPN,4:16
Centre shot - Goal,4.0,2,5,0,JPN,1.0,van der SLOOT S,0 - 5,236,NED,3:56
Turnover foul,6.0,2,5,0,JPN,1.0,YAMAMOTO M,0 - 5,221,JPN,3:41
Steal,8.0,2,5,0,JPN,1.0,SEVENICH V,0 - 5,221,NED,3:41
Turnover foul,8.0,2,5,0,JPN,1.0,SEVENICH V,0 - 5,210,NED,3:30
Steal,10.0,2,5,0,JPN,1.0,NORO M,0 - 5,210,JPN,3:30
Turnover foul,3.0,2,5,0,JPN,1.0,KAZAMA Y,0 - 5,187,JPN,3:07
Steal,11.0,2,5,0,JPN,1.0,KLAASSEN L,0 - 5,187,NED,3:07
20 sec. exclusion in centre,12.0,2,5,0,JPN,1.0,SUZUKI K,0 - 5,184,JPN,3:04
Extra player shot - Goal,2.0,2,6,0,JPN,1.0,SMIT Y,0 - 6,174,NED,2:54
5m shot - Post,3.0,2,6,0,JPN,1.0,KAZAMA Y,0 - 6,141,JPN,2:21
Turnover foul,6.0,2,6,0,JPN,1.0,STOMPHORST N,0 - 6,125,NED,2:05
Steal,5.0,2,6,0,JPN,1.0,SAKANOUE C,0 - 6,125,JPN,2:05
20 sec. exclusion in field,12.0,2,6,0,JPN,1.0,JOUSTRA K,0 - 6,113,NED,1:53
Goalkeeper substitution,1.0,2,6,0,JPN,1.0,AARTS L,0 - 6,89,NED,1:29
Action shot - Missed,2.0,2,6,0,JPN,1.0,ARIMA Y,0 - 6,88,JPN,1:28
Turnover foul,10.0,2,6,0,JPN,1.0,KOOLHAAS I,0 - 6,72,NED,1:12
Steal,1.0,2,6,0,JPN,1.0,AOKI M,0 - 6,72,JPN,1:12
5m shot - Missed,2.0,2,6,0,JPN,1.0,ARIMA Y,0 - 6,54,JPN,0:54
Action shot - Saved,7.0,2,6,0,JPN,1.0,NIJHUIS M,0 - 6,42,NED,0:42
20 sec. exclusion in centre,11.0,2,6,0,JPN,1.0,KLAASSEN L,0 - 6,31,NED,0:31
Turnover foul,12.0,2,6,0,JPN,1.0,SUZUKI K,0 - 6,23,JPN,0:23
Time-Out,,2,6,0,JPN,1.0,,0 - 6,23,NED,0:23
Action shot - Goal,5.0,2,7,0,JPN,1.0,GENEE A,0 - 7,3,NED,0:03
5m shot - Saved,8.0,2,7,0,JPN,1.0,NIIZAWA Y,0 - 7,1,JPN,0:01
Starting goalkeeper,1.0,2,7,0,JPN,2.0,AOKI M,0 - 7,480,JPN,8:00
Starting goalkeeper,1.0,2,7,0,JPN,2.0,AARTS L,0 - 7,480,NED,8:00
Sprint won possession,3.0,2,7,0,JPN,2.0,GENEE D,0 - 7,480,NED,8:00
Turnover foul,10.0,2,7,0,JPN,2.0,KOOLHAAS I,0 - 7,463,NED,7:43
Steal,2.0,2,7,0,JPN,2.0,ARIMA Y,0 - 7,463,JPN,7:43
20 sec. exclusion in centre,5.0,2,7,0,JPN,2.0,GENEE A,0 - 7,448,NED,7:28
Centre shot - Saved,2.0,2,7,0,JPN,2.0,ARIMA Y,0 - 7,431,JPN,7:11
20 sec. exclusion in field,10.0,2,7,0,JPN,2.0,NORO M,0 - 7,410,JPN,6:50
Extra player shot - Goal,4.0,2,8,0,JPN,2.0,van der SLOOT S,0 - 8,393,NED,6:33
Goalkeeper substitution,13.0,2,8,0,JPN,2.0,SHIOYA M,0 - 8,390,JPN,6:30
5m shot - Goal,4.0,2,8,1,JPN,2.0,MAGARIYAMA S,1 - 8,362,JPN,6:02
Centre shot - Saved,6.0,2,8,1,JPN,2.0,STOMPHORST N,1 - 8,338,NED,5:38
5m shot - Goal,11.0,2,8,2,JPN,2.0,TOKUMOTO M,2 - 8,321,JPN,5:21
Turnover foul,3.0,2,8,2,JPN,2.0,GENEE D,2 - 8,291,NED,4:51
Steal,13.0,2,8,2,JPN,2.0,SHIOYA M,2 - 8,291,JPN,4:51
5m shot - Missed,12.0,2,8,2,JPN,2.0,SUZUKI K,2 - 8,279,JPN,4:39
20 sec. exclusion in centre,11.0,2,8,2,JPN,2.0,TOKUMOTO M,2 - 8,256,JPN,4:16
Extra player shot - Missed,6.0,2,8,2,JPN,2.0,STOMPHORST N,2 - 8,245,NED,4:05
5m shot - Saved,10.0,2,8,2,JPN,3.0,NORO M,2 - 8,1,JPN,0:01
Starting goalkeeper,13.0,2,8,2,JPN,4.0,SHIOYA M,2 - 8,480,JPN,8:00
Starting goalkeeper,1.0,2,8,2,JPN,4.0,AARTS L,2 - 8,480,NED,8:00
Sprint won possession,3.0,2,8,2,JPN,4.0,GENEE D,2 - 8,480,NED,8:00
20 sec. exclusion in field,10.0,2,8,2,JPN,4.0,NORO M,2 - 8,468,JPN,7:48
Exclusion with substitution,10.0,2,8,2,JPN,4.0,NORO M,2 - 8,468,JPN,7:48
Extra player shot - Blocked,2.0,2,8,2,JPN,4.0,SMIT Y,2 - 8,448,NED,7:28
Action shot - Blocked,2.0,2,8,2,JPN,4.0,ARIMA Y,2 - 8,433,JPN,7:13
Action shot - Goal,9.0,2,16,7,JPN,4.0,MEGENS M,7 - 16,420,NED,7:00
20 sec. exclusion in centre,9.0,2,16,7,JPN,4.0,MEGENS M,7 - 16,391,NED,6:31
