Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,12.0,1,0,USA,1.0,OBRADOVIC P,0 - 0,452,CRO,7:32,Saved,0
Counter attack,1,9.0,1,0,USA,1.0,SUKNO S,1 - 0,445,CRO,7:25,Goal,1
Action shot,1,12.0,1,0,USA,1.0,OBRADOVIC P,1 - 0,401,CRO,6:41,Post,0
Action shot,1,2.0,1,0,USA,1.0,WIGO J,1 - 0,373,USA,6:13,Post,0
Extra player shot,1,8.0,1,0,USA,1.0,AZEVEDO A,1 - 0,313,USA,5:13,Post,0
Extra player shot,1,10.0,1,0,USA,1.0,HUTTEN T,1 - 0,260,USA,4:20,Saved,0
Action shot,1,5.0,1,0,USA,1.0,JOKOVIC M,1 - 0,232,CRO,3:52,Post,0
Action shot,1,10.0,1,1,USA,1.0,HUTTEN T,1 - 1,206,USA,3:26,Goal,1
Action shot,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,182,CRO,3:02,Saved,0
Extra player shot,1,4.0,1,1,USA,1.0,BOWEN A,1 - 1,151,USA,2:31,Post,0
Action shot,1,11.0,1,1,USA,1.0,SETKA A,1 - 1,51,CRO,0:51,Saved,0
5m shot,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,2,CRO,0:02,Saved,0
Extra player shot,2,12.0,1,1,USA,2.0,OBRADOVIC P,2 - 1,388,CRO,6:28,Goal,1
Extra player shot,2,12.0,1,2,USA,2.0,MANN J,2 - 2,348,USA,5:48,Goal,1
Extra player shot,2,7.0,1,2,USA,2.0,MUSLIM P,2 - 2,327,CRO,5:27,Missed,0
5m shot,2,12.0,1,2,USA,2.0,OBRADOVIC P,2 - 2,285,CRO,4:45,Saved,0
Extra player shot,2,2.0,1,2,USA,2.0,WIGO J,2 - 2,249,USA,4:09,Blocked,0
Action shot,2,2.0,1,2,USA,2.0,WIGO J,2 - 2,202,USA,3:22,Saved,0
Action shot,2,11.0,1,2,USA,2.0,SETKA A,2 - 2,142,CRO,2:22,Post,0
Action shot,2,7.0,1,2,USA,2.0,MUSLIM P,2 - 2,123,CRO,2:03,Post,0
Action shot,2,5.0,1,3,USA,2.0,de TRANE M,2 - 3,76,USA,1:16,Goal,1
Action shot,3,12.0,1,3,USA,2.0,OBRADOVIC P,3 - 3,49,CRO,0:49,Goal,1
Extra player shot,3,9.0,1,3,USA,2.0,SUKNO S,3 - 3,1,CRO,0:01,Post,0
Centre shot,9,12.0,1,7,USA,4.0,MANN J,9 - 7,6,USA,0:06,Goal,1
Extra player shot,9,8.0,1,7,USA,3.0,BUSLJE A,9 - 7,440,CRO,7:20,Blocked,0
Extra player shot,9,4.0,1,7,USA,3.0,BOWEN A,9 - 7,386,USA,6:26,Saved,0
Action shot,9,2.0,1,7,USA,3.0,WIGO J,9 - 7,375,USA,6:15,Saved,0
Action shot,4,5.0,1,3,USA,3.0,JOKOVIC M,4 - 3,357,CRO,5:57,Goal,1
Action shot,4,8.0,1,3,USA,3.0,AZEVEDO A,4 - 3,327,USA,5:27,Saved,0
Extra player shot,5,10.0,1,3,USA,3.0,DOBUD N,5 - 3,265,CRO,4:25,Goal,1
Extra player shot,5,12.0,1,3,USA,3.0,OBRADOVIC P,5 - 3,196,CRO,3:16,Blocked,0
Extra player shot,6,7.0,1,3,USA,3.0,MUSLIM P,6 - 3,159,CRO,2:39,Goal,1
Extra player shot,6,8.0,1,3,USA,3.0,AZEVEDO A,6 - 3,140,USA,2:20,Saved,0
Extra player shot,6,5.0,1,4,USA,3.0,de TRANE M,6 - 4,78,USA,1:18,Goal,1
Extra player shot,6,8.0,1,4,USA,3.0,BUSLJE A,6 - 4,40,CRO,0:40,Post,0
5m shot,6,12.0,1,4,USA,4.0,MANN J,6 - 4,451,USA,7:31,Blocked,0
Centre shot,7,10.0,1,4,USA,4.0,DOBUD N,7 - 4,388,CRO,6:28,Goal,1
Extra player shot,7,9.0,1,5,USA,4.0,BUCKNER S,7 - 5,314,USA,5:14,Goal,1
Penalty shot,7,9.0,1,5,USA,4.0,SUKNO S,7 - 5,290,CRO,4:50,Saved,0
Action shot,7,10.0,1,5,USA,4.0,HUTTEN T,7 - 5,238,USA,3:58,Saved,0
5m shot,7,9.0,1,5,USA,4.0,SUKNO S,7 - 5,202,CRO,3:22,Saved,0
Action shot,8,7.0,1,5,USA,4.0,MUSLIM P,8 - 5,139,CRO,2:19,Goal,1
Action shot,8,4.0,1,6,USA,4.0,BOWEN A,8 - 6,121,USA,2:01,Goal,1
Action shot,8,5.0,1,6,USA,4.0,JOKOVIC M,8 - 6,83,CRO,1:23,Saved,0
Centre shot,9,4.0,1,6,USA,4.0,PASKVALIN F,9 - 6,82,CRO,1:22,Goal,1
Centre shot,9,12.0,1,6,USA,4.0,MANN J,9 - 6,48,USA,0:48,Saved,0
5m shot,9,12.0,1,6,USA,4.0,OBRADOVIC P,9 - 6,1,CRO,0:01,Saved,0
Action shot,0,2.0,2,0,CAN,1.0,KUDABA C,0 - 0,452,CAN,7:32,Blocked,0
Centre shot,0,12.0,2,0,CAN,1.0,OBRADOVIC P,0 - 0,383,CRO,6:23,Saved,0
Centre shot,0,10.0,2,0,CAN,1.0,DOBUD N,0 - 0,368,CRO,6:08,Missed,0
Action shot,1,12.0,2,0,CAN,1.0,OBRADOVIC P,1 - 0,255,CRO,4:15,Goal,1
5m shot,1,8.0,2,0,CAN,1.0,GRAHAM K,1 - 0,224,CAN,3:44,Blocked,0
Centre shot,2,4.0,2,0,CAN,1.0,PASKVALIN F,2 - 0,205,CRO,3:25,Goal,1
Centre shot,2,4.0,2,0,CAN,1.0,CONSTANTIN-BICARI,2 - 0,179,CAN,2:59,Saved,0
Counter attack,3,11.0,2,0,CAN,1.0,SETKA A,3 - 0,14,CRO,0:14,Goal,1
Action shot,3,9.0,2,0,CAN,2.0,DIGGLE D,3 - 0,435,CAN,7:15,Blocked,0
Centre shot,3,6.0,2,1,CAN,2.0,ROBINSON S,3 - 1,431,CAN,7:11,Goal,1
Action shot,4,12.0,2,1,CAN,2.0,OBRADOVIC P,4 - 1,410,CRO,6:50,Goal,1
5m shot,4,10.0,2,1,CAN,2.0,CONWAY J,4 - 1,382,CAN,6:22,Missed,0
Action shot,4,5.0,2,1,CAN,2.0,JOKOVIC M,4 - 1,313,CRO,5:13,Post,0
Penalty shot,4,8.0,2,2,CAN,2.0,GRAHAM K,4 - 2,254,CAN,4:14,Goal,1
Extra player shot,5,9.0,2,2,CAN,2.0,SUKNO S,5 - 2,209,CRO,3:29,Goal,1
5m shot,5,12.0,2,2,CAN,2.0,McELROY J,5 - 2,185,CAN,3:05,Saved,0
Action shot,5,5.0,2,2,CAN,2.0,JOKOVIC M,5 - 2,157,CRO,2:37,Post,0
Action shot,6,7.0,2,2,CAN,2.0,MUSLIM P,6 - 2,121,CRO,2:01,Goal,1
Extra player shot,6,9.0,2,3,CAN,2.0,DIGGLE D,6 - 3,30,CAN,0:30,Goal,1
Centre shot,6,10.0,2,3,CAN,2.0,DOBUD N,6 - 3,2,CRO,0:02,Saved,0
Penalty shot,7,5.0,2,3,CAN,3.0,JOKOVIC M,7 - 3,462,CRO,7:42,Goal,1
Centre shot,13,10.0,2,8,CAN,4.0,CONWAY J,13 - 8,12,CAN,0:12,Goal,1
Action shot,13,7.0,2,8,CAN,3.0,MUSLIM P,13 - 8,418,CRO,6:58,Post,0
Extra player shot,8,7.0,2,3,CAN,3.0,MUSLIM P,8 - 3,375,CRO,6:15,Goal,1
Action shot,8,8.0,2,3,CAN,3.0,GRAHAM K,8 - 3,297,CAN,4:57,Blocked,0
Penalty shot,8,4.0,2,4,CAN,3.0,CONSTANTIN-BICARI,8 - 4,296,CAN,4:56,Goal,1
Centre shot,8,4.0,2,4,CAN,3.0,PASKVALIN F,8 - 4,273,CRO,4:33,Saved,0
Counter attack,8,4.0,2,5,CAN,3.0,CONSTANTIN-BICARI,8 - 5,256,CAN,4:16,Goal,1
Centre shot,8,3.0,2,5,CAN,3.0,MILAKOVIC I,8 - 5,216,CRO,3:36,Saved,0
Action shot,9,7.0,2,5,CAN,3.0,MUSLIM P,9 - 5,177,CRO,2:57,Goal,1
Action shot,9,5.0,2,5,CAN,3.0,JOKOVIC M,9 - 5,145,CRO,2:25,Missed,0
Centre shot,9,3.0,2,6,CAN,3.0,VIKALO O,9 - 6,128,CAN,2:08,Goal,1
Action shot,9,8.0,2,6,CAN,3.0,GRAHAM K,9 - 6,88,CAN,1:28,Blocked,0
Centre shot,9,10.0,2,6,CAN,3.0,DOBUD N,9 - 6,64,CRO,1:04,Saved,0
Penalty shot,9,8.0,2,6,CAN,3.0,GRAHAM K,9 - 6,48,CAN,0:48,Saved,0
Centre shot,10,10.0,2,6,CAN,3.0,DOBUD N,10 - 6,22,CRO,0:22,Goal,1
Action shot,10,7.0,2,6,CAN,3.0,MUSLIM P,10 - 6,1,CRO,0:01,Post,0
Action shot,10,8.0,2,6,CAN,4.0,GRAHAM K,10 - 6,451,CAN,7:31,Blocked,0
5m shot,10,4.0,2,6,CAN,4.0,CONSTANTIN-BICARI,10 - 6,405,CAN,6:45,Post,0
Action shot,10,5.0,2,6,CAN,4.0,JOKOVIC M,10 - 6,385,CRO,6:25,Saved,0
5m shot,11,9.0,2,6,CAN,4.0,SUKNO S,11 - 6,378,CRO,6:18,Goal,1
5m shot,11,5.0,2,6,CAN,4.0,JOKOVIC M,11 - 6,326,CRO,5:26,Saved,0
5m shot,11,8.0,2,6,CAN,4.0,GRAHAM K,11 - 6,296,CAN,4:56,Missed,0
Centre shot,11,10.0,2,6,CAN,4.0,DOBUD N,11 - 6,270,CRO,4:30,Saved,0
Centre shot,11,7.0,2,6,CAN,4.0,MUSLIM P,11 - 6,178,CRO,2:58,Missed,0
Centre shot,12,9.0,2,6,CAN,4.0,SUKNO S,12 - 6,152,CRO,2:32,Goal,1
Extra player shot,12,5.0,2,7,CAN,4.0,BOYD J,12 - 7,120,CAN,2:00,Goal,1
Extra player shot,12,4.0,2,7,CAN,4.0,PASKVALIN F,12 - 7,87,CRO,1:27,Blocked,0
Action shot,12,5.0,2,7,CAN,4.0,BOYD J,12 - 7,63,CAN,1:03,Saved,0
Action shot,13,5.0,2,7,CAN,4.0,JOKOVIC M,13 - 7,35,CRO,0:35,Goal,1
5m shot,13,11.0,2,7,CAN,4.0,SETKA A,13 - 7,2,CRO,0:02,Saved,0
Centre shot,0,10.0,3,0,RSA,1.0,DOBUD N,0 - 0,411,CRO,6:51,Saved,0
Action shot,1,9.0,3,0,RSA,1.0,SUKNO S,1 - 0,396,CRO,6:36,Goal,1
Action shot,1,8.0,3,0,RSA,1.0,BELL R,1 - 0,381,RSA,6:21,Missed,0
Centre shot,1,7.0,3,0,RSA,1.0,MUSLIM P,1 - 0,369,CRO,6:09,Saved,0
Action shot,1,10.0,3,0,RSA,1.0,le ROUX P,1 - 0,341,RSA,5:41,Missed,0
Action shot,2,9.0,3,0,RSA,1.0,SUKNO S,2 - 0,326,CRO,5:26,Goal,1
5m shot,2,7.0,3,0,RSA,1.0,MUSLIM P,2 - 0,246,CRO,4:06,Saved,0
Centre shot,2,10.0,3,0,RSA,1.0,DOBUD N,2 - 0,177,CRO,2:57,Saved,0
Action shot,2,2.0,3,0,RSA,1.0,le ROUX E,2 - 0,150,RSA,2:30,Saved,0
Centre shot,2,13.0,3,0,RSA,1.0,STEWART D,2 - 0,108,RSA,1:48,Missed,0
Action shot,3,12.0,3,0,RSA,1.0,OBRADOVIC P,3 - 0,86,CRO,1:26,Goal,1
Extra player shot,3,8.0,3,0,RSA,1.0,BELL R,3 - 0,57,RSA,0:57,Post,0
Extra player shot,3,11.0,3,0,RSA,1.0,MOLYNEUX N,3 - 0,40,RSA,0:40,Blocked,0
5m shot,3,13.0,3,0,RSA,1.0,STEWART D,3 - 0,1,RSA,0:01,Missed,0
5m shot,3,8.0,3,0,RSA,2.0,BELL R,3 - 0,426,RSA,7:06,Post,0
Action shot,4,2.0,3,0,RSA,2.0,LONCAR L,4 - 0,412,CRO,6:52,Goal,1
Extra player shot,4,5.0,3,0,RSA,2.0,RODDA N,4 - 0,345,RSA,5:45,Saved,0
Extra player shot,4,9.0,3,0,RSA,2.0,SUKNO S,4 - 0,326,CRO,5:26,Post,0
Action shot,5,5.0,3,0,RSA,2.0,JOKOVIC M,5 - 0,273,CRO,4:33,Goal,1
Counter attack,6,11.0,3,0,RSA,2.0,SETKA A,6 - 0,264,CRO,4:24,Goal,1
Counter attack,6,6.0,3,0,RSA,2.0,BUKIC L,6 - 0,241,CRO,4:01,Post,0
Counter attack,6,13.0,3,0,RSA,2.0,STEWART D,6 - 0,227,RSA,3:47,Saved,0
Centre shot,6,7.0,3,0,RSA,2.0,MUSLIM P,6 - 0,207,CRO,3:27,Saved,0
Centre shot,6,3.0,3,0,RSA,2.0,CARD D,6 - 0,162,RSA,2:42,Saved,0
Centre shot,6,4.0,3,0,RSA,2.0,PASKVALIN F,6 - 0,137,CRO,2:17,Saved,0
Counter attack,18,11.0,3,0,RSA,4.0,SETKA A,18 - 0,130,CRO,2:10,Goal,1
Extra player shot,18,8.0,3,0,RSA,4.0,BELL R,18 - 0,90,RSA,1:30,Saved,0
Extra player shot,19,9.0,3,0,RSA,4.0,SUKNO S,19 - 0,55,CRO,0:55,Goal,1
Action shot,7,7.0,3,0,RSA,2.0,MUSLIM P,7 - 0,105,CRO,1:45,Goal,1
Centre shot,7,10.0,3,0,RSA,2.0,le ROUX P,7 - 0,77,RSA,1:17,Missed,0
Centre shot,7,10.0,3,0,RSA,2.0,DOBUD N,7 - 0,51,CRO,0:51,Missed,0
Action shot,7,10.0,3,0,RSA,2.0,le ROUX P,7 - 0,33,RSA,0:33,Blocked,0
5m shot,7,7.0,3,0,RSA,2.0,MUSLIM P,7 - 0,10,CRO,0:10,Saved,0
Centre shot,7,10.0,3,0,RSA,3.0,DOBUD N,7 - 0,452,CRO,7:32,Saved,0
5m shot,7,9.0,3,0,RSA,3.0,SUKNO S,7 - 0,429,CRO,7:09,Post,0
Action shot,8,12.0,3,0,RSA,3.0,OBRADOVIC P,8 - 0,413,CRO,6:53,Goal,1
5m shot,8,2.0,3,0,RSA,3.0,le ROUX E,8 - 0,361,RSA,6:01,Blocked,0
Extra player shot,9,10.0,3,0,RSA,3.0,DOBUD N,9 - 0,335,CRO,5:35,Goal,1
5m shot,9,8.0,3,0,RSA,3.0,BELL R,9 - 0,317,RSA,5:17,Saved,0
Centre shot,10,10.0,3,0,RSA,3.0,DOBUD N,10 - 0,294,CRO,4:54,Goal,1
Action shot,10,4.0,3,0,RSA,3.0,PASKVALIN F,10 - 0,261,CRO,4:21,Saved,0
Extra player shot,10,9.0,3,0,RSA,3.0,SUKNO S,10 - 0,230,CRO,3:50,Post,0
Counter attack,11,11.0,3,0,RSA,3.0,SETKA A,11 - 0,196,CRO,3:16,Goal,1
5m shot,11,6.0,3,0,RSA,3.0,KYTE J,11 - 0,143,RSA,2:23,Saved,0
Counter attack,12,9.0,3,0,RSA,3.0,SUKNO S,12 - 0,135,CRO,2:15,Goal,1
5m shot,12,8.0,3,0,RSA,3.0,BELL R,12 - 0,113,RSA,1:53,Saved,0
Action shot,13,9.0,3,0,RSA,3.0,SUKNO S,13 - 0,87,CRO,1:27,Goal,1
Extra player shot,14,6.0,3,0,RSA,3.0,BUKIC L,14 - 0,26,CRO,0:26,Goal,1
5m shot,14,7.0,3,0,RSA,3.0,MUSLIM P,14 - 0,1,CRO,0:01,Saved,0
5m shot,14,5.0,3,0,RSA,4.0,JOKOVIC M,14 - 0,452,CRO,7:32,Missed,0
Centre shot,14,4.0,3,0,RSA,4.0,BADENHORST I,14 - 0,414,RSA,6:54,Missed,0
Extra player shot,15,12.0,3,0,RSA,4.0,OBRADOVIC P,15 - 0,389,CRO,6:29,Goal,1
5m shot,15,6.0,3,0,RSA,4.0,KYTE J,15 - 0,367,RSA,6:07,Blocked,0
Centre shot,15,10.0,3,0,RSA,4.0,le ROUX P,15 - 0,312,RSA,5:12,Saved,0
Action shot,16,12.0,3,0,RSA,4.0,OBRADOVIC P,16 - 0,288,CRO,4:48,Goal,1
Action shot,16,2.0,3,0,RSA,4.0,le ROUX E,16 - 0,244,RSA,4:04,Saved,0
Counter attack,17,10.0,3,0,RSA,4.0,DOBUD N,17 - 0,232,CRO,3:52,Goal,1
Counter attack,17,2.0,3,0,RSA,4.0,le ROUX E,17 - 0,192,RSA,3:12,Saved,0
5m shot,17,5.0,3,0,RSA,4.0,JOKOVIC M,17 - 0,165,CRO,2:45,Saved,0
Extra player shot,17,8.0,3,0,RSA,4.0,BELL R,17 - 0,1,RSA,0:01,Post,0
Extra player shot,1,9.0,4,0,NZL,1.0,SUKNO S,1 - 0,401,CRO,6:41,Goal,1
Action shot,1,5.0,4,0,NZL,1.0,ROSS J,1 - 0,372,NZL,6:12,Saved,0
Penalty shot,1,9.0,4,0,NZL,1.0,SUKNO S,1 - 0,353,CRO,5:53,Post,0
Action shot,2,9.0,4,0,NZL,1.0,SUKNO S,2 - 0,313,CRO,5:13,Goal,1
5m shot,2,12.0,4,0,NZL,1.0,PYE A,2 - 0,288,NZL,4:48,Saved,0
Extra player shot,3,12.0,4,0,NZL,1.0,OBRADOVIC P,3 - 0,260,CRO,4:20,Goal,1
Counter attack,4,5.0,4,0,NZL,1.0,JOKOVIC M,4 - 0,233,CRO,3:53,Goal,1
Action shot,4,8.0,4,0,NZL,1.0,BUSLJE A,4 - 0,129,CRO,2:09,Saved,0
Action shot,4,12.0,4,0,NZL,1.0,PYE A,4 - 0,100,NZL,1:40,Saved,0
Penalty shot,5,7.0,4,0,NZL,1.0,MUSLIM P,5 - 0,83,CRO,1:23,Goal,1
Action shot,6,9.0,4,0,NZL,1.0,SUKNO S,6 - 0,54,CRO,0:54,Goal,1
Extra player shot,6,7.0,4,0,NZL,1.0,JACKSON D,6 - 0,26,NZL,0:26,Blocked,0
Extra player shot,6,11.0,4,0,NZL,1.0,TIJSEN L,6 - 0,21,NZL,0:21,Saved,0
Counter attack,6,5.0,4,1,NZL,1.0,ROSS J,6 - 1,14,NZL,0:14,Goal,1
Extra player shot,7,4.0,4,1,NZL,2.0,PASKVALIN F,7 - 1,453,CRO,7:33,Goal,1
Extra player shot,7,2.0,4,2,NZL,2.0,LEWIS M,7 - 2,385,NZL,6:25,Goal,1
Extra player shot,7,5.0,4,2,NZL,2.0,JOKOVIC M,7 - 2,349,CRO,5:49,Post,0
Action shot,7,11.0,4,2,NZL,2.0,SETKA A,7 - 2,342,CRO,5:42,Saved,0
Action shot,7,6.0,4,2,NZL,2.0,SIEPRATH A,7 - 2,311,NZL,5:11,Blocked,0
Action shot,7,11.0,4,2,NZL,2.0,SETKA A,7 - 2,286,CRO,4:46,Saved,0
Extra player shot,7,10.0,4,2,NZL,2.0,DOBUD N,7 - 2,243,CRO,4:03,Saved,0
Centre shot,7,11.0,4,2,NZL,4.0,SETKA A,7 - 2,299,CRO,4:59,Missed,0
Action shot,7,7.0,4,2,NZL,4.0,MUSLIM P,7 - 2,255,CRO,4:15,Saved,0
Extra player shot,20,11.0,4,4,NZL,4.0,TIJSEN L,20 - 4,210,NZL,3:30,Goal,1
Penalty shot,21,7.0,4,4,NZL,4.0,MUSLIM P,21 - 4,184,CRO,3:04,Goal,1
