AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,1.0,1,0,NZL,1.0,MILLAR B,0 - 0,480,NZL,8:00
0,Starting goalkeeper,1.0,1,0,NZL,1.0,BARTA L,0 - 0,480,AUS,8:00
0,Sprint won possession,12.0,1,0,NZL,1.0,ZAGAME N,0 - 0,480,AUS,8:00
0,Turnover foul,6.0,1,0,NZL,1.0,KNOX B,0 - 0,457,AUS,7:37
0,Steal,12.0,1,0,NZL,1.0,MYLES A,0 - 0,457,NZL,7:37
0,Turnover foul,4.0,1,0,NZL,1.0,LEWIS N,0 - 0,429,NZL,7:09
0,Steal,7.0,1,0,NZL,1.0,WEBSTER R,0 - 0,429,AUS,7:09
1,5m shot - Goal,7.0,1,0,NZL,1.0,WEBSTER R,1 - 0,405,AUS,6:45
1,Turnover foul,3.0,1,0,NZL,1.0,MASON K,1 - 0,388,NZL,6:28
1,Steal,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,388,AUS,6:28
1,Turnover foul,4.0,1,0,NZL,1.0,LINCOLN-SMITH H,1 - 0,367,AUS,6:07
1,Turnover foul,3.0,1,0,NZL,1.0,MASON K,1 - 0,337,NZL,5:37
1,Steal,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,337,AUS,5:37
1,Centre shot - Saved,12.0,1,0,NZL,1.0,ZAGAME N,1 - 0,320,AUS,5:20
1,5m shot - Post,3.0,1,0,NZL,1.0,MASON K,1 - 0,295,NZL,4:55
1,Turnover foul,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,285,AUS,4:45
1,5m shot - Saved,9.0,1,0,NZL,1.0,SIEPRATH L,1 - 0,260,NZL,4:20
1,20 sec. exclusion in field,10.0,1,0,NZL,1.0,BOWRY C,1 - 0,259,NZL,4:19
1,Turnover foul,7.0,1,0,NZL,1.0,WEBSTER R,1 - 0,244,AUS,4:04
1,20 sec. exclusion in field,12.0,1,0,NZL,1.0,ZAGAME N,1 - 0,220,AUS,3:40
1,Action shot - Saved,11.0,1,0,NZL,1.0,HUDSON K,1 - 0,197,NZL,3:17
1,Turnover foul,8.0,1,0,NZL,1.0,McGHIE G,1 - 0,171,AUS,2:51
1,Turnover foul,2.0,1,0,NZL,1.0,COX E,1 - 0,144,NZL,2:24
1,Steal,8.0,1,0,NZL,1.0,McGHIE G,1 - 0,144,AUS,2:24
2,Centre shot - Goal,4.0,1,0,NZL,1.0,LINCOLN-SMITH H,2 - 0,117,AUS,1:57
2,20 sec. exclusion in centre,5.0,1,0,NZL,1.0,BISHOP I,2 - 0,109,AUS,1:49
2,Extra player shot - Goal,2.0,1,1,NZL,1.0,COX E,2 - 1,90,NZL,1:30
2,20 sec. exclusion in centre,8.0,1,1,NZL,1.0,LEWIS D,2 - 1,68,NZL,1:08
3,Extra player shot - Goal,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,49,AUS,0:49
3,Turnover foul,7.0,1,1,NZL,1.0,LANDRY S,3 - 1,33,NZL,0:33
3,5m shot - Missed,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,15,AUS,0:15
3,5m shot - Missed,1.0,1,1,NZL,1.0,MILLAR B,3 - 1,1,NZL,0:01
3,Starting goalkeeper,1.0,1,1,NZL,2.0,MILLAR B,3 - 1,480,NZL,8:00
3,Starting goalkeeper,1.0,1,1,NZL,2.0,BARTA L,3 - 1,480,AUS,8:00
3,Sprint won possession,7.0,1,1,NZL,2.0,LANDRY S,3 - 1,480,NZL,8:00
3,Turnover foul,4.0,1,1,NZL,2.0,LEWIS N,3 - 1,458,NZL,7:38
4,5m shot - Goal,7.0,1,1,NZL,2.0,WEBSTER R,4 - 1,429,AUS,7:09
4,5m shot - Saved,6.0,1,1,NZL,2.0,SMITH L,4 - 1,400,NZL,6:40
4,Turnover foul,2.0,1,1,NZL,2.0,APPEL J,4 - 1,383,AUS,6:23
4,5m shot - Missed,7.0,1,1,NZL,2.0,LANDRY S,4 - 1,359,NZL,5:59
4,Action shot - Saved,3.0,1,1,NZL,2.0,BUCKLING H,4 - 1,333,AUS,5:33
4,5m shot - Missed,11.0,1,1,NZL,2.0,HUDSON K,4 - 1,318,NZL,5:18
4,20 sec. exclusion in field,2.0,1,1,NZL,2.0,COX E,4 - 1,296,NZL,4:56
5,Extra player shot - Goal,10.0,1,1,NZL,2.0,SOUTHERN A,5 - 1,287,AUS,4:47
5,Action shot - Missed,12.0,1,1,NZL,2.0,MYLES A,5 - 1,263,NZL,4:23
6,Centre shot - Goal,4.0,1,1,NZL,2.0,LINCOLN-SMITH H,6 - 1,244,AUS,4:04
6,20 sec. exclusion in centre,3.0,1,1,NZL,2.0,BUCKLING H,6 - 1,226,AUS,3:46
6,Extra player shot - Goal,3.0,1,2,NZL,2.0,MASON K,6 - 2,207,NZL,3:27
7,Centre shot - Goal,2.0,1,2,NZL,2.0,APPEL J,7 - 2,194,AUS,3:14
7,Action shot - Goal,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,176,NZL,2:56
7,Centre shot - Saved,2.0,1,3,NZL,2.0,APPEL J,7 - 3,151,AUS,2:31
7,5m shot - Saved,3.0,1,3,NZL,2.0,MASON K,7 - 3,127,NZL,2:07
7,5m shot - Saved,6.0,1,3,NZL,2.0,KNOX B,7 - 3,97,AUS,1:37
7,5m shot - Saved,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,67,NZL,1:07
7,5m shot - Saved,6.0,1,3,NZL,2.0,KNOX B,7 - 3,37,AUS,0:37
7,5m shot - Blocked,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,15,NZL,0:15
7,5m shot - Missed,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,7,NZL,0:07
7,Starting goalkeeper,13.0,1,3,NZL,3.0,WAKEFIELD K,7 - 3,480,AUS,8:00
7,Starting goalkeeper,1.0,1,3,NZL,3.0,MILLAR B,7 - 3,480,NZL,8:00
7,Sprint won possession,7.0,1,3,NZL,3.0,LANDRY S,7 - 3,480,NZL,8:00
7,5m shot - Saved,3.0,1,3,NZL,3.0,MASON K,7 - 3,459,NZL,7:39
8,5m shot - Goal,11.0,1,3,NZL,3.0,GOFERS K,8 - 3,441,AUS,7:21
8,5m shot - Saved,8.0,1,3,NZL,3.0,LEWIS D,8 - 3,414,NZL,6:54
8,Action shot - Saved,11.0,1,3,NZL,3.0,GOFERS K,8 - 3,395,AUS,6:35
8,20 sec. exclusion in centre,3.0,1,3,NZL,3.0,MASON K,8 - 3,379,NZL,6:19
8,Extra player shot - Saved,7.0,1,3,NZL,3.0,WEBSTER R,8 - 3,368,AUS,6:08
9,Action shot - Goal,7.0,1,3,NZL,3.0,WEBSTER R,9 - 3,340,AUS,5:40
9,20 sec. exclusion in centre,6.0,1,3,NZL,3.0,KNOX B,9 - 3,323,AUS,5:23
9,Extra player shot - Saved,9.0,1,3,NZL,3.0,SIEPRATH L,9 - 3,315,NZL,5:15
9,5m shot - Saved,12.0,1,3,NZL,3.0,ZAGAME N,9 - 3,281,AUS,4:41
9,Centre shot - Missed,2.0,1,3,NZL,3.0,APPEL J,9 - 3,274,AUS,4:34
9,20 sec. exclusion in centre,8.0,1,3,NZL,3.0,McGHIE G,9 - 3,255,AUS,4:15
9,Time-Out,,1,3,NZL,3.0,,9 - 3,255,NZL,4:15
9,5m shot - Blocked,3.0,1,3,NZL,3.0,MASON K,9 - 3,229,NZL,3:49
10,Action shot - Goal,12.0,1,3,NZL,3.0,ZAGAME N,10 - 3,219,AUS,3:39
10,Turnover foul,6.0,1,3,NZL,3.0,SMITH L,10 - 3,202,NZL,3:22
10,Steal,7.0,1,3,NZL,3.0,WEBSTER R,10 - 3,202,AUS,3:22
10,Turnover foul,4.0,1,3,NZL,3.0,LINCOLN-SMITH H,10 - 3,182,AUS,3:02
10,20 sec. exclusion in centre,7.0,1,3,NZL,3.0,WEBSTER R,10 - 3,163,AUS,2:43
10,Extra player shot - Post,11.0,1,3,NZL,3.0,HUDSON K,10 - 3,146,NZL,2:26
10,5m shot - Post,6.0,1,3,NZL,3.0,KNOX B,10 - 3,116,AUS,1:56
10,Turnover foul,10.0,1,3,NZL,3.0,BOWRY C,10 - 3,89,NZL,1:29
10,Steal,3.0,1,3,NZL,3.0,BUCKLING H,10 - 3,89,AUS,1:29
10,Penalty foul,10.0,1,3,NZL,3.0,BOWRY C,10 - 3,81,NZL,1:21
11,Penalty shot - Goal,10.0,1,3,NZL,3.0,SOUTHERN A,11 - 3,81,AUS,1:21
11,5m shot - Saved,7.0,1,3,NZL,3.0,LANDRY S,11 - 3,57,NZL,0:57
11,Turnover foul,9.0,1,3,NZL,3.0,SIEPRATH L,11 - 3,41,NZL,0:41
11,Steal,9.0,1,3,NZL,3.0,ARANCINI Z,11 - 3,41,AUS,0:41
11,Turnover foul,11.0,1,3,NZL,3.0,GOFERS K,11 - 3,26,AUS,0:26
11,5m shot - Missed,6.0,1,3,NZL,3.0,SMITH L,11 - 3,6,NZL,0:06
11,Starting goalkeeper,13.0,1,3,NZL,4.0,WAKEFIELD K,11 - 3,480,AUS,8:00
11,Starting goalkeeper,1.0,1,3,NZL,4.0,MILLAR B,11 - 3,480,NZL,8:00
11,Sprint won possession,8.0,1,3,NZL,4.0,McGHIE G,11 - 3,480,AUS,8:00
11,Turnover foul,9.0,1,3,NZL,4.0,SIEPRATH L,11 - 3,421,NZL,7:01
11,Steal,7.0,1,3,NZL,4.0,WEBSTER R,11 - 3,421,AUS,7:01
11,Turnover foul,7.0,1,3,NZL,4.0,WEBSTER R,11 - 3,394,AUS,6:34
11,Steal,6.0,1,3,NZL,4.0,SMITH L,11 - 3,394,NZL,6:34
11,5m shot - Blocked,6.0,1,3,NZL,4.0,SMITH L,11 - 3,372,NZL,6:12
11,Action shot - Saved,7.0,1,3,NZL,4.0,WEBSTER R,11 - 3,346,AUS,5:46
11,Turnover foul,8.0,1,3,NZL,4.0,LEWIS D,11 - 3,319,NZL,5:19
11,Steal,8.0,1,3,NZL,4.0,McGHIE G,11 - 3,319,AUS,5:19
12,Centre shot - Goal,3.0,1,3,NZL,4.0,BUCKLING H,12 - 3,307,AUS,5:07
12,5m shot - Missed,10.0,1,3,NZL,4.0,BOWRY C,12 - 3,286,NZL,4:46
12,Turnover foul,10.0,1,3,NZL,4.0,SOUTHERN A,12 - 3,281,AUS,4:41
12,5m shot - Goal,3.0,1,4,NZL,4.0,MASON K,12 - 4,275,NZL,4:35
12,5m shot - Post,10.0,1,4,NZL,4.0,SOUTHERN A,12 - 4,256,AUS,4:16
12,5m shot - Missed,12.0,1,4,NZL,4.0,MYLES A,12 - 4,231,NZL,3:51
12,Action shot - Missed,8.0,1,4,NZL,4.0,McGHIE G,12 - 4,205,AUS,3:25
12,Turnover foul,9.0,1,4,NZL,4.0,SIEPRATH L,12 - 4,193,NZL,3:13
12,Steal,5.0,1,4,NZL,4.0,BISHOP I,12 - 4,193,AUS,3:13
12,Time-Out,,1,4,NZL,4.0,,12 - 4,191,AUS,3:11
12,20 sec. exclusion in centre,3.0,1,4,NZL,4.0,MASON K,12 - 4,165,NZL,2:45
12,Turnover foul,11.0,1,4,NZL,4.0,GOFERS K,12 - 4,153,AUS,2:33
12,5m shot - Saved,8.0,1,4,NZL,4.0,LEWIS D,12 - 4,124,NZL,2:04
13,Centre shot - Goal,4.0,1,4,NZL,4.0,LINCOLN-SMITH H,13 - 4,109,AUS,1:49
13,Action shot - Saved,6.0,1,4,NZL,4.0,SMITH L,13 - 4,83,NZL,1:23
13,20 sec. exclusion in centre,10.0,1,4,NZL,4.0,BOWRY C,13 - 4,65,NZL,1:05
13,Time-Out,,1,4,NZL,4.0,,13 - 4,65,AUS,1:05
14,5m shot - Goal,7.0,1,4,NZL,4.0,WEBSTER R,14 - 4,49,AUS,0:49
14,5m shot - Saved,11.0,1,4,NZL,4.0,HUDSON K,14 - 4,23,NZL,0:23
14,20 sec. exclusion in field,8.0,1,4,NZL,4.0,LEWIS D,14 - 4,18,NZL,0:18
15,Extra player shot - Goal,9.0,1,4,NZL,4.0,ARANCINI Z,15 - 4,2,AUS,0:02
15,5m shot - Saved,11.0,1,4,NZL,4.0,HUDSON K,15 - 4,1,NZL,0:01
0,Starting goalkeeper,1.0,2,0,CHN,1.0,YANG J,0 - 0,480,CHN,8:00
0,Starting goalkeeper,13.0,2,0,CHN,1.0,WAKEFIELD K,0 - 0,480,AUS,8:00
0,Sprint won possession,12.0,2,0,CHN,1.0,ZAGAME N,0 - 0,480,AUS,8:00
0,Action shot - Saved,10.0,2,0,CHN,1.0,SOUTHERN A,0 - 0,457,AUS,7:37
0,Turnover foul,4.0,2,0,CHN,1.0,SUN Y,0 - 0,441,CHN,7:21
0,Steal,13.0,2,0,CHN,1.0,WAKEFIELD K,0 - 0,441,AUS,7:21
0,Action shot - Blocked,5.0,2,0,CHN,1.0,BISHOP I,0 - 0,411,AUS,6:51
0,Action shot - Goal,3.0,2,1,CHN,1.0,LIU P,0 - 1,388,CHN,6:28
0,Turnover foul,12.0,2,1,CHN,1.0,ZAGAME N,0 - 1,364,AUS,6:04
0,Steal,1.0,2,1,CHN,1.0,YANG J,0 - 1,364,CHN,6:04
0,Turnover foul,7.0,2,1,CHN,1.0,WEBSTER R,0 - 1,338,AUS,5:38
0,20 sec. exclusion in field,7.0,2,1,CHN,1.0,WEBSTER R,0 - 1,329,AUS,5:29
0,Extra player shot - Saved,2.0,2,1,CHN,1.0,TENG F,0 - 1,310,CHN,5:10
0,Action shot - Missed,2.0,2,1,CHN,1.0,TENG F,0 - 1,305,CHN,5:05
1,Action shot - Goal,7.0,2,1,CHN,1.0,WEBSTER R,1 - 1,289,AUS,4:49
1,Turnover foul,5.0,2,1,CHN,1.0,HE J,1 - 1,271,CHN,4:31
1,Steal,8.0,2,1,CHN,1.0,McGHIE G,1 - 1,271,AUS,4:31
1,20 sec. exclusion in centre,10.0,2,1,CHN,1.0,MA H,1 - 1,248,CHN,4:08
1,Centre shot - Missed,2.0,2,1,CHN,1.0,APPEL J,1 - 1,218,AUS,3:38
1,Action shot - Goal,4.0,2,2,CHN,1.0,SUN Y,1 - 2,201,CHN,3:21
1,Action shot - Missed,6.0,2,2,CHN,1.0,KNOX B,1 - 2,178,AUS,2:58
1,20 sec. exclusion in centre,12.0,2,2,CHN,1.0,ZAGAME N,1 - 2,158,AUS,2:38
1,Centre shot - Goal,3.0,2,3,CHN,1.0,LIU P,1 - 3,136,CHN,2:16
1,Action shot - Post,10.0,2,3,CHN,1.0,SOUTHERN A,1 - 3,107,AUS,1:47
1,Action shot - Saved,2.0,2,3,CHN,1.0,TENG F,1 - 3,87,CHN,1:27
1,Steal,5.0,2,3,CHN,1.0,HE J,1 - 3,65,CHN,1:05
1,Turnover foul,7.0,2,3,CHN,1.0,WEBSTER R,1 - 3,65,AUS,1:05
1,20 sec. exclusion in field,8.0,2,3,CHN,1.0,McGHIE G,1 - 3,59,AUS,0:59
1,Turnover foul,2.0,2,3,CHN,1.0,TENG F,1 - 3,52,CHN,0:52
1,Steal,10.0,2,3,CHN,1.0,SOUTHERN A,1 - 3,52,AUS,0:52
1,20 sec. exclusion in centre,7.0,2,3,CHN,1.0,SONG D,1 - 3,22,CHN,0:22
1,Time-Out,,2,3,CHN,1.0,,1 - 3,21,AUS,0:21
1,Starting goalkeeper,1.0,2,3,CHN,2.0,YANG J,1 - 3,480,CHN,8:00
1,Starting goalkeeper,13.0,2,3,CHN,2.0,WAKEFIELD K,1 - 3,480,AUS,8:00
1,Sprint won possession,4.0,2,3,CHN,2.0,SUN Y,1 - 3,480,CHN,8:00
1,Turnover foul,6.0,2,3,CHN,2.0,SUN Y,1 - 3,459,CHN,7:39
1,Steal,7.0,2,3,CHN,2.0,WEBSTER R,1 - 3,459,AUS,7:39
2,Centre shot - Goal,4.0,2,3,CHN,2.0,LINCOLN-SMITH H,2 - 3,433,AUS,7:13
2,Turnover foul,6.0,2,3,CHN,2.0,SUN Y,2 - 3,409,CHN,6:49
2,Turnover foul,7.0,2,3,CHN,2.0,WEBSTER R,2 - 3,381,AUS,6:21
2,Turnover foul,6.0,2,3,CHN,2.0,SUN Y,2 - 3,364,CHN,6:04
3,Counter attack - Goal,8.0,2,3,CHN,2.0,McGHIE G,3 - 3,354,AUS,5:54
3,20 sec. exclusion in centre,6.0,2,3,CHN,2.0,KNOX B,3 - 3,335,AUS,5:35
3,5m shot - Goal,10.0,2,4,CHN,2.0,MA H,3 - 4,310,CHN,5:10
3,20 sec. exclusion in centre,3.0,2,4,CHN,2.0,LIU P,3 - 4,287,CHN,4:47
3,Extra player shot - Post,12.0,2,4,CHN,2.0,ZAGAME N,3 - 4,269,AUS,4:29
3,Action shot - Blocked,12.0,2,4,CHN,2.0,XIA Q,3 - 4,239,CHN,3:59
3,Turnover foul,12.0,2,4,CHN,2.0,ZAGAME N,3 - 4,216,AUS,3:36
3,Steal,2.0,2,4,CHN,2.0,TENG F,3 - 4,216,CHN,3:36
3,Turnover foul,4.0,2,4,CHN,2.0,SUN Y,3 - 4,202,CHN,3:22
3,Steal,12.0,2,4,CHN,2.0,ZAGAME N,3 - 4,202,AUS,3:22
4,Action shot - Goal,8.0,2,4,CHN,2.0,McGHIE G,4 - 4,183,AUS,3:03
4,Turnover foul,6.0,2,4,CHN,2.0,SUN Y,4 - 4,162,CHN,2:42
4,20 sec. exclusion in field,4.0,2,4,CHN,2.0,SUN Y,4 - 4,160,CHN,2:40
4,Action shot - Saved,5.0,2,4,CHN,2.0,BISHOP I,4 - 4,131,AUS,2:11
4,Action shot - Saved,2.0,2,4,CHN,2.0,TENG F,4 - 4,105,CHN,1:45
4,Centre shot - Saved,4.0,2,4,CHN,2.0,LINCOLN-SMITH H,4 - 4,78,AUS,1:18
4,20 sec. exclusion in field,7.0,2,4,CHN,2.0,WEBSTER R,4 - 4,77,AUS,1:17
4,Extra player shot - Goal,11.0,2,5,CHN,2.0,ZHANG C,4 - 5,64,CHN,1:04
4,Action shot - Saved,10.0,2,5,CHN,2.0,SOUTHERN A,4 - 5,35,AUS,0:35
4,Action shot - Post,9.0,2,5,CHN,2.0,ARANCINI Z,4 - 5,11,AUS,0:11
4,Starting goalkeeper,1.0,2,5,CHN,3.0,YANG J,4 - 5,480,CHN,8:00
4,Starting goalkeeper,13.0,2,5,CHN,3.0,WAKEFIELD K,4 - 5,480,AUS,8:00
4,Time-Out,,2,5,CHN,4.0,,4 - 5,103,AUS,1:43
13,Action shot - Goal,5.0,2,5,CHN,4.0,BISHOP I,13 - 5,79,AUS,1:19
13,Action shot - Blocked,3.0,2,5,CHN,4.0,LIU P,13 - 5,51,CHN,0:51
13,Turnover foul,11.0,2,5,CHN,4.0,GOFERS K,13 - 5,45,AUS,0:45
13,Steal,6.0,2,5,CHN,4.0,SUN Y,13 - 5,45,CHN,0:45
13,Sprint won possession,6.0,2,5,CHN,3.0,SUN Y,13 - 5,480,CHN,8:00
13,20 sec. exclusion in centre,3.0,2,5,CHN,3.0,BUCKLING H,13 - 5,463,AUS,7:43
13,Turnover foul,11.0,2,5,CHN,3.0,ZHANG C,13 - 5,436,CHN,7:16
13,Steal,3.0,2,5,CHN,3.0,BUCKLING H,13 - 5,436,AUS,7:16
13,Action shot - Saved,10.0,2,5,CHN,3.0,SOUTHERN A,13 - 5,414,AUS,6:54
13,Turnover foul,2.0,2,5,CHN,3.0,TENG F,13 - 5,399,CHN,6:39
13,Steal,6.0,2,5,CHN,3.0,KNOX B,13 - 5,399,AUS,6:39
13,20 sec. exclusion in field,4.0,2,5,CHN,3.0,SUN Y,13 - 5,394,CHN,6:34
5,Extra player shot - Goal,12.0,2,5,CHN,3.0,ZAGAME N,5 - 5,386,AUS,6:26
5,Turnover foul,7.0,2,5,CHN,3.0,SONG D,5 - 5,360,CHN,6:00
5,Steal,2.0,2,5,CHN,3.0,APPEL J,5 - 5,360,AUS,6:00
5,Action shot - Post,8.0,2,5,CHN,3.0,McGHIE G,5 - 5,331,AUS,5:31
5,5m shot - Missed,10.0,2,5,CHN,3.0,MA H,5 - 5,312,CHN,5:12
5,Turnover foul,8.0,2,5,CHN,3.0,McGHIE G,5 - 5,311,AUS,5:11
5,Turnover foul,4.0,2,5,CHN,3.0,SUN Y,5 - 5,297,CHN,4:57
5,Steal,2.0,2,5,CHN,3.0,APPEL J,5 - 5,297,AUS,4:57
6,Action shot - Goal,8.0,2,5,CHN,3.0,McGHIE G,6 - 5,272,AUS,4:32
6,Turnover foul,5.0,2,5,CHN,3.0,HE J,6 - 5,251,CHN,4:11
6,Steal,9.0,2,5,CHN,3.0,ARANCINI Z,6 - 5,251,AUS,4:11
7,Centre shot - Goal,9.0,2,5,CHN,3.0,ARANCINI Z,7 - 5,228,AUS,3:48
7,Action shot - Blocked,11.0,2,5,CHN,3.0,ZHANG C,7 - 5,203,CHN,3:23
8,Action shot - Goal,6.0,2,5,CHN,3.0,KNOX B,8 - 5,175,AUS,2:55
8,Action shot - Saved,11.0,2,5,CHN,3.0,ZHANG C,8 - 5,151,CHN,2:31
8,20 sec. exclusion in field,3.0,2,5,CHN,3.0,BUCKLING H,8 - 5,139,AUS,2:19
8,Turnover foul,5.0,2,5,CHN,3.0,HE J,8 - 5,135,CHN,2:15
8,Steal,4.0,2,5,CHN,3.0,LINCOLN-SMITH H,8 - 5,135,AUS,2:15
8,Turnover foul,7.0,2,5,CHN,3.0,WEBSTER R,8 - 5,106,AUS,1:46
8,Steal,1.0,2,5,CHN,3.0,YANG J,8 - 5,106,CHN,1:46
8,20 sec. exclusion in field,11.0,2,5,CHN,3.0,GOFERS K,8 - 5,95,AUS,1:35
8,Time-Out,,2,5,CHN,3.0,,8 - 5,95,CHN,1:35
8,Turnover foul,6.0,2,5,CHN,3.0,SUN Y,8 - 5,70,CHN,1:10
8,Steal,10.0,2,5,CHN,3.0,SOUTHERN A,8 - 5,70,AUS,1:10
8,20 sec. exclusion in centre,3.0,2,5,CHN,3.0,LIU P,8 - 5,42,CHN,0:42
9,Extra player shot - Goal,12.0,2,5,CHN,3.0,ZAGAME N,9 - 5,30,AUS,0:30
9,Action shot - Missed,12.0,2,5,CHN,3.0,XIA Q,9 - 5,13,CHN,0:13
9,20 sec. exclusion in field,12.0,2,5,CHN,3.0,XIA Q,9 - 5,12,CHN,0:12
10,Extra player shot - Goal,10.0,2,5,CHN,3.0,SOUTHERN A,10 - 5,1,AUS,0:01
10,5m shot - Blocked,7.0,2,5,CHN,3.0,SONG D,10 - 5,1,CHN,0:01
