Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Extra player shot,9.0,3,9,AUS,4.0,SWIFT J,10,10 - 9,96,AUS,1:36,Goal,1
5m shot,8.0,3,9,AUS,4.0,ALEKSIC M,10,10 - 9,73,SRB,1:13,Blocked,0
Action shot,4.0,3,9,AUS,4.0,COTTERILL J,10,10 - 9,44,AUS,0:44,Post,0
5m shot,11.0,3,9,AUS,4.0,PRLAINOVIC A,10,10 - 9,13,SRB,0:13,Missed,0
Extra player shot,10.0,4,1,USA,1.0,BONANNI B,0,0 - 1,438,USA,7:18,Goal,1
5m shot,8.0,4,1,USA,1.0,ALEKSIC M,0,0 - 1,415,SRB,6:55,Saved,0
5m shot,7.0,4,2,USA,1.0,SAMUELS J,0,0 - 2,374,USA,6:14,Goal,1
Action shot,7.0,4,2,USA,1.0,NIKIC S,0,0 - 2,350,SRB,5:50,Saved,0
Extra player shot,8.0,4,2,USA,1.0,ALEKSIC M,1,1 - 2,288,SRB,4:48,Goal,1
Action shot,11.0,4,2,USA,1.0,PRLAINOVIC A,1,1 - 2,226,SRB,3:46,Post,0
5m shot,11.0,4,2,USA,1.0,PRLAINOVIC A,2,2 - 2,226,SRB,3:46,Goal,1
Action shot,12.0,4,2,USA,1.0,MANN J,2,2 - 2,183,USA,3:03,Blocked,0
Action shot,12.0,4,2,USA,1.0,MITROVIC S,2,2 - 2,141,SRB,2:21,Saved,0
5m shot,7.0,4,2,USA,1.0,SAMUELS J,2,2 - 2,114,USA,1:54,Missed,0
Action shot,6.0,4,2,USA,1.0,PIJETLOVIC D,3,3 - 2,91,SRB,1:31,Goal,1
5m shot,2.0,4,2,USA,1.0,MANDIC D,4,4 - 2,50,SRB,0:50,Goal,1
5m shot,5.0,4,2,USA,1.0,CUK M,4,4 - 2,2,SRB,0:02,Post,0
Action shot,8.0,4,3,USA,2.0,AZEVEDO T,4,4 - 3,454,USA,7:34,Goal,1
Centre shot,7.0,4,3,USA,2.0,NIKIC S,5,5 - 3,429,SRB,7:09,Goal,1
Extra player shot,11.0,4,4,USA,2.0,SMITH J,5,5 - 4,402,USA,6:42,Goal,1
Extra player shot,6.0,4,4,USA,2.0,PIJETLOVIC D,6,6 - 4,376,SRB,6:16,Goal,1
Extra player shot,10.0,4,5,USA,2.0,BONANNI B,6,6 - 5,295,USA,4:55,Goal,1
5m shot,2.0,4,5,USA,2.0,MANDIC D,6,6 - 5,271,SRB,4:31,Post,0
Action shot,8.0,4,5,USA,2.0,ALEKSIC M,6,6 - 5,206,SRB,3:26,Post,0
5m shot,11.0,4,5,USA,2.0,PRLAINOVIC A,6,6 - 5,153,SRB,2:33,Blocked,0
Action shot,6.0,4,5,USA,2.0,CUPIDO L,6,6 - 5,130,USA,2:10,Saved,0
5m shot,9.0,4,5,USA,2.0,BOWEN A,6,6 - 5,103,USA,1:43,Saved,0
Action shot,7.0,4,5,USA,2.0,NIKIC S,6,6 - 5,72,SRB,1:12,Saved,0
Counter attack,10.0,4,5,USA,2.0,FILIPOVIC F,7,7 - 5,39,SRB,0:39,Goal,1
5m shot,9.0,4,5,USA,2.0,BOWEN A,7,7 - 5,13,USA,0:13,Post,0
5m shot,10.0,4,5,USA,2.0,FILIPOVIC F,7,7 - 5,1,SRB,0:01,Blocked,0
Extra player shot,6.0,4,6,USA,3.0,CUPIDO L,7,7 - 6,406,USA,6:46,Goal,1
Action shot,8.0,4,6,USA,3.0,AZEVEDO T,7,7 - 6,355,USA,5:55,Saved,0
5m shot,4.0,4,6,USA,3.0,RANDELOVIC S,7,7 - 6,329,SRB,5:29,Post,0
Penalty shot,10.0,4,6,USA,3.0,BONANNI B,7,7 - 6,308,USA,5:08,Post,0
Extra player shot,6.0,4,6,USA,3.0,PIJETLOVIC D,8,8 - 6,289,SRB,4:49,Goal,1
Action shot,3.0,4,6,USA,3.0,GOCIC Z,8,8 - 6,236,SRB,3:56,Saved,0
5m shot,6.0,4,6,USA,3.0,CUPIDO L,8,8 - 6,208,USA,3:28,Missed,0
Counter attack,4.0,4,6,USA,3.0,RANDELOVIC S,8,8 - 6,190,SRB,3:10,Saved,0
5m shot,8.0,4,6,USA,3.0,AZEVEDO T,8,8 - 6,128,USA,2:08,Blocked,0
Centre shot,7.0,4,6,USA,3.0,NIKIC S,8,8 - 6,107,SRB,1:47,Saved,0
Action shot,2.0,4,6,USA,3.0,VAVIC N,8,8 - 6,78,USA,1:18,Missed,0
Action shot,6.0,4,6,USA,3.0,CUPIDO L,8,8 - 6,38,USA,0:38,Saved,0
Action shot,3.0,4,6,USA,3.0,GOCIC Z,9,9 - 6,20,SRB,0:20,Goal,1
5m shot,9.0,4,6,USA,4.0,BOWEN A,9,9 - 6,457,USA,7:37,Saved,0
Action shot,9.0,4,7,USA,4.0,BOWEN A,9,9 - 7,393,USA,6:33,Goal,1
Action shot,9.0,4,7,USA,4.0,JAKSIC N,9,9 - 7,372,SRB,6:12,Saved,0
5m shot,5.0,4,7,USA,4.0,CUK M,9,9 - 7,315,SRB,5:15,Saved,0
5m shot,11.0,4,7,USA,4.0,SMITH J,9,9 - 7,290,USA,4:50,Saved,0
Extra player shot,6.0,4,7,USA,4.0,PIJETLOVIC D,10,10 - 7,254,SRB,4:14,Goal,1
Action shot,2.0,4,7,USA,4.0,MANDIC D,10,10 - 7,204,SRB,3:24,Post,0
Counter attack,2.0,4,7,USA,4.0,MANDIC D,11,11 - 7,165,SRB,2:45,Goal,1
Action shot,7.0,4,7,USA,4.0,NIKIC S,11,11 - 7,119,SRB,1:59,Blocked,0
Extra player shot,11.0,4,7,USA,4.0,SMITH J,11,11 - 7,90,USA,1:30,Saved,0
5m shot,10.0,4,7,USA,4.0,FILIPOVIC F,11,11 - 7,12,SRB,0:12,Saved,0
Action shot,7.0,4,7,USA,4.0,NIKIC S,12,12 - 7,4,SRB,0:04,Goal,1
5m shot,6.0,4,7,USA,4.0,CUPIDO L,12,12 - 7,0,USA,0:00,Saved,0
Extra player shot,7.0,5,0,ITA,1.0,GIACOPPO M,0,0 - 0,443,ITA,7:23,Post,0
5m shot,4.0,5,0,ITA,1.0,FIGLIOLI P,0,0 - 0,426,ITA,7:06,Post,0
Extra player shot,11.0,5,0,ITA,1.0,PRLAINOVIC A,1,0 - 1,393,SRB,6:33,Goal,1
Extra player shot,2.0,5,0,ITA,1.0,DI FULVIO F,1,0 - 1,305,ITA,5:05,Post,0
Action shot,2.0,5,0,ITA,1.0,DI FULVIO F,1,0 - 1,296,ITA,4:56,Saved,0
Counter attack,5.0,5,0,ITA,1.0,CUK M,2,0 - 2,279,SRB,4:39,Goal,1
Centre shot,12.0,5,0,ITA,1.0,MITROVIC S,3,0 - 3,235,SRB,3:55,Goal,1
Extra player shot,10.0,5,0,ITA,1.0,FILIPOVIC F,3,0 - 3,190,SRB,3:10,Saved,0
Action shot,2.0,5,0,ITA,1.0,MANDIC D,4,0 - 4,186,SRB,3:06,Goal,1
Action shot,12.0,5,0,ITA,1.0,MITROVIC S,4,0 - 4,145,SRB,2:25,Saved,0
5m shot,8.0,5,0,ITA,1.0,ALEKSIC M,4,0 - 4,93,SRB,1:33,Missed,0
Action shot,5.0,5,0,ITA,1.0,GIORGETTI A,4,0 - 4,65,ITA,1:05,Missed,0
Action shot,7.0,5,0,ITA,1.0,NIKIC S,4,0 - 4,50,SRB,0:50,Post,0
Action shot,8.0,5,0,ITA,2.0,PRESCIUTTI N,4,0 - 4,451,ITA,7:31,Saved,0
5m shot,4.0,5,0,ITA,2.0,RANDELOVIC S,4,0 - 4,405,SRB,6:45,Saved,0
Extra player shot,5.0,5,1,ITA,2.0,GIORGETTI A,4,1 - 4,371,ITA,6:11,Goal,1
5m shot,10.0,5,1,ITA,2.0,FILIPOVIC F,4,1 - 4,346,SRB,5:46,Saved,0
Action shot,6.0,5,1,ITA,2.0,FONDELLI A,4,1 - 4,313,ITA,5:13,Saved,0
Action shot,5.0,5,1,ITA,2.0,GIORGETTI A,4,1 - 4,261,ITA,4:21,Saved,0
Counter attack,12.0,5,1,ITA,2.0,MITROVIC S,5,1 - 5,246,SRB,4:06,Goal,1
Extra player shot,5.0,5,1,ITA,2.0,GIORGETTI A,5,1 - 5,214,ITA,3:34,Saved,0
Counter attack,3.0,5,1,ITA,2.0,GOCIC Z,6,1 - 6,198,SRB,3:18,Goal,1
5m shot,2.0,5,2,ITA,2.0,DI FULVIO F,6,2 - 6,168,ITA,2:48,Goal,1
Extra player shot,7.0,5,2,ITA,2.0,NIKIC S,6,2 - 6,134,SRB,2:14,Saved,0
Extra player shot,9.0,5,2,ITA,2.0,JAKSIC N,7,2 - 7,92,SRB,1:32,Goal,1
Action shot,3.0,5,2,ITA,2.0,VELOTTO A,7,2 - 7,65,ITA,1:05,Blocked,0
Action shot,12.0,5,2,ITA,2.0,MITROVIC S,8,2 - 8,42,SRB,0:42,Goal,1
Centre shot,8.0,5,2,ITA,4.0,PRESCIUTTI N,8,2 - 8,33,ITA,0:33,Blocked,0
Action shot,10.0,5,2,ITA,3.0,LUONGO S,8,2 - 8,457,ITA,7:37,Saved,0
Action shot,6.0,5,3,ITA,3.0,FONDELLI A,8,3 - 8,417,ITA,6:57,Goal,1
Centre shot,6.0,5,3,ITA,3.0,PIJETLOVIC D,9,3 - 9,397,SRB,6:37,Goal,1
Action shot,12.0,5,4,ITA,3.0,BARALDI F,9,4 - 9,372,ITA,6:12,Goal,1
5m shot,5.0,5,4,ITA,3.0,CUK M,9,4 - 9,353,SRB,5:53,Saved,0
Extra player shot,5.0,5,4,ITA,3.0,CUK M,9,4 - 9,315,SRB,5:15,Blocked,0
Action shot,10.0,5,4,ITA,3.0,LUONGO S,9,4 - 9,230,ITA,3:50,Saved,0
Centre shot,3.0,5,4,ITA,3.0,VELOTTO A,9,4 - 9,181,ITA,3:01,Saved,0
Action shot,12.0,5,4,ITA,3.0,MITROVIC S,9,4 - 9,100,SRB,1:40,Missed,0
Extra player shot,6.0,5,4,ITA,3.0,FONDELLI A,9,4 - 9,59,ITA,0:59,Blocked,0
Action shot,10.0,5,4,ITA,3.0,LUONGO S,9,4 - 9,40,ITA,0:40,Post,0
Action shot,2.0,5,4,ITA,3.0,DI FULVIO F,9,4 - 9,17,ITA,0:17,Saved,0
5m shot,10.0,5,4,ITA,3.0,FILIPOVIC F,9,4 - 9,4,SRB,0:04,Saved,0
5m shot,5.0,5,4,ITA,3.0,CUK M,9,4 - 9,0,SRB,0:00,Post,0
Extra player shot,8.0,5,4,ITA,4.0,ALEKSIC M,10,4 - 10,392,SRB,6:32,Goal,1
Action shot,7.0,5,4,ITA,4.0,GIACOPPO M,10,4 - 10,339,ITA,5:39,Saved,0
5m shot,10.0,5,4,ITA,4.0,FILIPOVIC F,10,4 - 10,318,SRB,5:18,Blocked,0
Action shot,6.0,5,5,ITA,4.0,FONDELLI A,10,5 - 10,301,ITA,5:01,Goal,1
5m shot,10.0,5,5,ITA,4.0,FILIPOVIC F,10,5 - 10,277,SRB,4:37,Saved,0
Action shot,10.0,5,5,ITA,4.0,LUONGO S,10,5 - 10,249,ITA,4:09,Saved,0
Action shot,10.0,5,5,ITA,4.0,FILIPOVIC F,10,5 - 10,221,SRB,3:41,Missed,0
Action shot,11.0,5,5,ITA,4.0,AICARDI M,10,5 - 10,205,ITA,3:25,Saved,0
Action shot,5.0,5,5,ITA,4.0,GIORGETTI A,10,5 - 10,186,ITA,3:06,Post,0
Extra player shot,10.0,5,6,ITA,4.0,LUONGO S,10,6 - 10,151,ITA,2:31,Goal,1
5m shot,5.0,5,6,ITA,4.0,CUK M,10,6 - 10,124,SRB,2:04,Saved,0
Action shot,5.0,5,6,ITA,4.0,GIORGETTI A,10,6 - 10,83,ITA,1:23,Post,0
5m shot,3.0,5,6,ITA,4.0,GOCIC Z,10,6 - 10,5,SRB,0:05,Missed,0
5m shot,12.0,6,0,CRO,1.0,OBRADOVIC P,0,0 - 0,455,CRO,7:35,Blocked,0
5m shot,7.0,6,0,CRO,1.0,MUSLIM P,0,0 - 0,413,CRO,6:53,Saved,0
Action shot,12.0,6,1,CRO,1.0,OBRADOVIC P,0,1 - 0,373,CRO,6:13,Goal,1
5m shot,12.0,6,1,CRO,1.0,OBRADOVIC P,0,1 - 0,321,CRO,5:21,Saved,0
Action shot,12.0,6,1,CRO,1.0,MITROVIC S,0,1 - 0,293,SRB,4:53,Blocked,0
5m shot,8.0,6,1,CRO,1.0,ALEKSIC M,0,1 - 0,239,SRB,3:59,Saved,0
Action shot,10.0,6,1,CRO,1.0,FILIPOVIC F,0,1 - 0,204,SRB,3:24,Saved,0
Extra player shot,3.0,6,2,CRO,1.0,PETKOVIC A,0,2 - 0,164,CRO,2:44,Goal,1
Extra player shot,11.0,6,2,CRO,1.0,PRLAINOVIC A,1,2 - 1,142,SRB,2:22,Goal,1
Centre shot,10.0,6,2,CRO,1.0,PASKVALIN F,1,2 - 1,118,CRO,1:58,Missed,0
5m shot,12.0,6,2,CRO,1.0,OBRADOVIC P,1,2 - 1,85,CRO,1:25,Saved,0
Centre shot,2.0,6,2,CRO,1.0,MANDIC D,2,2 - 2,68,SRB,1:08,Goal,1
Action shot,11.0,6,2,CRO,1.0,PRLAINOVIC A,2,2 - 2,28,SRB,0:28,Post,0
5m shot,7.0,6,2,CRO,1.0,MUSLIM P,2,2 - 2,5,CRO,0:05,Blocked,0
5m shot,5.0,6,2,CRO,2.0,JOKOVIC M,2,2 - 2,402,CRO,6:42,Missed,0
Action shot,12.0,6,2,CRO,2.0,MITROVIC S,2,2 - 2,367,SRB,6:07,Post,0
5m shot,9.0,6,2,CRO,2.0,SUKNO S,2,2 - 2,322,CRO,5:22,Saved,0
5m shot,11.0,6,2,CRO,2.0,PRLAINOVIC A,2,2 - 2,294,SRB,4:54,Blocked,0
Action shot,11.0,6,2,CRO,2.0,PRLAINOVIC A,3,2 - 3,246,SRB,4:06,Goal,1
Action shot,11.0,6,2,CRO,2.0,SETKA A,3,2 - 3,185,CRO,3:05,Post,0
Extra player shot,5.0,6,2,CRO,2.0,CUK M,4,2 - 4,157,SRB,2:37,Goal,1
Action shot,5.0,6,2,CRO,2.0,JOKOVIC M,4,2 - 4,112,CRO,1:52,Post,0
5m shot,5.0,6,2,CRO,2.0,CUK M,4,2 - 4,86,SRB,1:26,Saved,0
5m shot,9.0,6,2,CRO,2.0,SUKNO S,4,2 - 4,53,CRO,0:53,Saved,0
Extra player shot,10.0,6,2,CRO,2.0,FILIPOVIC F,5,2 - 5,24,SRB,0:24,Goal,1
5m shot,9.0,6,2,CRO,2.0,SUKNO S,5,2 - 5,17,CRO,0:17,Missed,0
Counter attack,12.0,6,2,CRO,3.0,MITROVIC S,6,2 - 6,427,SRB,7:07,Goal,1
5m shot,12.0,6,2,CRO,3.0,OBRADOVIC P,6,2 - 6,401,CRO,6:41,Blocked,0
5m shot,11.0,6,2,CRO,3.0,PRLAINOVIC A,6,2 - 6,375,SRB,6:15,Missed,0
Extra player shot,9.0,6,3,CRO,3.0,SUKNO S,6,3 - 6,336,CRO,5:36,Goal,1
Extra player shot,5.0,6,3,CRO,3.0,CUK M,7,3 - 7,305,SRB,5:05,Goal,1
Counter attack,5.0,6,3,CRO,3.0,CUK M,7,3 - 7,250,SRB,4:10,Saved,0
Action shot,12.0,6,3,CRO,3.0,OBRADOVIC P,7,3 - 7,200,CRO,3:20,Blocked,0
Action shot,6.0,6,3,CRO,3.0,PIJETLOVIC D,7,3 - 7,184,SRB,3:04,Saved,0
Extra player shot,10.0,6,3,CRO,3.0,FILIPOVIC F,7,3 - 7,126,SRB,2:06,Missed,0
Extra player shot,9.0,6,4,CRO,3.0,SUKNO S,7,4 - 7,108,CRO,1:48,Goal,1
Centre shot,7.0,6,4,CRO,3.0,NIKIC S,7,4 - 7,90,SRB,1:30,Saved,0
Counter attack,11.0,6,4,CRO,3.0,PRLAINOVIC A,7,4 - 7,49,SRB,0:49,Missed,0
5m shot,2.0,6,4,CRO,3.0,BURIC D,7,4 - 7,23,CRO,0:23,Post,0
5m shot,11.0,6,4,CRO,3.0,PRLAINOVIC A,7,4 - 7,13,SRB,0:13,Missed,0
Counter attack,9.0,6,4,CRO,3.0,SUKNO S,7,4 - 7,4,CRO,0:04,Saved,0
Action shot,2.0,6,4,CRO,3.0,BURIC D,7,4 - 7,1,CRO,0:01,Missed,0
Action shot,11.0,6,4,CRO,4.0,PRLAINOVIC A,7,4 - 7,428,SRB,7:08,Saved,0
5m shot,7.0,6,4,CRO,4.0,MUSLIM P,7,4 - 7,382,CRO,6:22,Blocked,0
Extra player shot,6.0,6,4,CRO,4.0,PIJETLOVIC D,8,4 - 8,359,SRB,5:59,Goal,1
Extra player shot,2.0,6,4,CRO,4.0,BURIC D,8,4 - 8,328,CRO,5:28,Saved,0
Extra player shot,11.0,6,4,CRO,4.0,PRLAINOVIC A,9,4 - 9,288,SRB,4:48,Goal,1
Action shot,3.0,6,4,CRO,4.0,PETKOVIC A,9,4 - 9,260,CRO,4:20,Saved,0
5m shot,4.0,6,4,CRO,4.0,RANDELOVIC S,9,4 - 9,235,SRB,3:55,Saved,0
5m shot,9.0,6,4,CRO,4.0,SUKNO S,9,4 - 9,190,CRO,3:10,Post,0
5m shot,9.0,6,4,CRO,4.0,SUKNO S,9,4 - 9,159,CRO,2:39,Blocked,0
5m shot,8.0,6,4,CRO,4.0,ALEKSIC M,10,4 - 10,130,SRB,2:10,Goal,1
Extra player shot,3.0,6,4,CRO,4.0,PETKOVIC A,10,4 - 10,99,CRO,1:39,Missed,0
Action shot,9.0,6,4,CRO,4.0,JAKSIC N,11,4 - 11,25,SRB,0:25,Goal,1
