Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,ESP,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Starting goalkeeper,1.0,1,0,0,ESP,1.0,ESTER L,0 - 0,480,ESP,8:00
Sprint won possession,6.0,1,0,0,ESP,1.0,PAREJA J,0 - 0,480,ESP,8:00
Action shot - Goal,3.0,1,0,1,ESP,1.0,ESPAR A,0 - 1,459,ESP,7:39
Turnover foul,11.0,1,0,1,ESP,1.0,MIRSHINA A,0 - 1,443,KAZ,7:23
Action shot - Saved,6.0,1,0,1,ESP,1.0,PAREJA J,0 - 1,428,ESP,7:08
20 sec. exclusion in field,7.0,1,0,1,ESP,1.0,MYRZABEKOVA Z,0 - 1,423,KAZ,7:03
Extra player shot - Post,11.0,1,0,1,ESP,1.0,GARCIA M,0 - 1,412,ESP,6:52
Turnover foul,12.0,1,0,1,ESP,1.0,MUSSAROVA A,0 - 1,384,KAZ,6:24
Turnover foul,3.0,1,0,1,ESP,1.0,ESPAR A,0 - 1,363,ESP,6:03
Steal,11.0,1,0,1,ESP,1.0,MIRSHINA A,0 - 1,363,KAZ,6:03
20 sec. exclusion in field,3.0,1,0,1,ESP,1.0,ESPAR A,0 - 1,363,ESP,6:03
Time-Out,,1,0,1,ESP,1.0,,0 - 1,363,KAZ,6:03
Turnover foul,5.0,1,0,1,ESP,1.0,ZAKIROVA K,0 - 1,331,KAZ,5:31
5m shot - Blocked,5.0,1,0,1,ESP,1.0,ORTIZ M,0 - 1,316,ESP,5:16
Turnover foul,11.0,1,0,1,ESP,1.0,MIRSHINA A,0 - 1,304,KAZ,5:04
Centre shot - Saved,11.0,1,0,1,ESP,1.0,GARCIA M,0 - 1,303,ESP,5:03
20 sec. exclusion in centre,5.0,1,0,1,ESP,1.0,ORTIZ M,0 - 1,281,ESP,4:41
Turnover foul,11.0,1,0,1,ESP,1.0,MIRSHINA A,0 - 1,268,KAZ,4:28
Steal,10.0,1,0,1,ESP,1.0,TARRAGO R,0 - 1,268,ESP,4:28
Penalty foul,8.0,1,0,1,ESP,1.0,SAICHUK O,0 - 1,263,KAZ,4:23
Penalty shot - Goal,6.0,1,0,2,ESP,1.0,PAREJA J,0 - 2,263,ESP,4:23
Turnover foul,8.0,1,0,2,ESP,1.0,SAICHUK O,0 - 2,237,KAZ,3:57
Turnover foul,7.0,1,0,2,ESP,1.0,ESPAR C,0 - 2,215,ESP,3:35
Steal,4.0,1,0,2,ESP,1.0,TUROVA A,0 - 2,215,KAZ,3:35
20 sec. exclusion in field,9.0,1,0,2,ESP,1.0,FORCA J,0 - 2,215,ESP,3:35
Extra player shot - Post,8.0,1,0,2,ESP,1.0,SAICHUK O,0 - 2,190,KAZ,3:10
Turnover foul,7.0,1,0,2,ESP,1.0,MYRZABEKOVA Z,0 - 2,182,KAZ,3:02
Action shot - Goal,7.0,1,0,3,ESP,1.0,ESPAR C,0 - 3,173,ESP,2:53
Turnover foul,10.0,1,0,3,ESP,1.0,ROGA D,0 - 3,138,KAZ,2:18
20 sec. exclusion in centre,5.0,1,0,3,ESP,1.0,ZAKIROVA K,0 - 3,118,KAZ,1:58
Extra player shot - Missed,10.0,1,0,3,ESP,1.0,TARRAGO R,0 - 3,106,ESP,1:46
Turnover foul,11.0,1,0,3,ESP,1.0,MIRSHINA A,0 - 3,82,KAZ,1:22
Centre shot - Goal,10.0,1,0,4,ESP,1.0,TARRAGO R,0 - 4,72,ESP,1:12
5m shot - Saved,4.0,1,0,4,ESP,1.0,TUROVA A,0 - 4,47,KAZ,0:47
Centre shot - Missed,4.0,1,0,4,ESP,1.0,LEITON P,0 - 4,17,ESP,0:17
Starting goalkeeper,1.0,1,0,4,ESP,2.0,ZHARKIMBAYEVA A,0 - 4,480,KAZ,8:00
Starting goalkeeper,1.0,1,0,4,ESP,2.0,ESTER L,0 - 4,480,ESP,8:00
Sprint won possession,6.0,1,0,4,ESP,2.0,PAREJA J,0 - 4,480,ESP,8:00
Action shot - Saved,11.0,1,0,4,ESP,2.0,GARCIA M,0 - 4,449,ESP,7:29
Turnover foul,10.0,1,0,4,ESP,2.0,ROGA D,0 - 4,421,KAZ,7:01
Steal,5.0,1,0,4,ESP,2.0,ORTIZ M,0 - 4,421,ESP,7:01
Counter attack - Goal,7.0,1,0,5,ESP,2.0,ESPAR C,0 - 5,417,ESP,6:57
Turnover foul,11.0,1,0,5,ESP,2.0,GARCIA M,0 - 5,372,ESP,6:12
Steal,4.0,1,0,5,ESP,2.0,TUROVA A,0 - 5,372,KAZ,6:12
20 sec. exclusion in field,5.0,1,0,5,ESP,2.0,ORTIZ M,0 - 5,348,ESP,5:48
Action shot - Saved,11.0,1,0,5,ESP,2.0,MIRSHINA A,0 - 5,330,KAZ,5:30
Turnover foul,12.0,1,0,5,ESP,2.0,MUSSAROVA A,0 - 5,315,KAZ,5:15
Steal,10.0,1,0,5,ESP,2.0,TARRAGO R,0 - 5,315,ESP,5:15
20 sec. exclusion in field,4.0,1,0,5,ESP,2.0,TUROVA A,0 - 5,314,KAZ,5:14
Action shot - Post,10.0,1,0,5,ESP,2.0,TARRAGO R,0 - 5,288,ESP,4:48
Centre shot - Goal,11.0,1,0,6,ESP,2.0,GARCIA M,0 - 6,281,ESP,4:41
Turnover foul,7.0,1,0,6,ESP,2.0,MYRZABEKOVA Z,0 - 6,260,KAZ,4:20
Steal,3.0,1,0,6,ESP,2.0,ESPAR A,0 - 6,260,ESP,4:20
Turnover foul,3.0,1,0,6,ESP,2.0,ESPAR A,0 - 6,244,ESP,4:04
20 sec. exclusion in centre,10.0,1,0,6,ESP,2.0,TARRAGO R,0 - 6,228,ESP,3:48
Time-Out,,1,0,6,ESP,2.0,,0 - 6,228,KAZ,3:48
Extra player shot - Goal,8.0,1,1,6,ESP,2.0,SAICHUK O,1 - 6,215,KAZ,3:35
20 sec. exclusion in field,4.0,1,1,6,ESP,2.0,TUROVA A,1 - 6,191,KAZ,3:11
Extra player shot - Goal,6.0,1,1,7,ESP,2.0,PAREJA J,1 - 7,175,ESP,2:55
Action shot - Goal,6.0,1,1,8,ESP,2.0,PAREJA J,1 - 8,149,ESP,2:29
Turnover foul,3.0,1,1,8,ESP,2.0,AKILBAYEVA A,1 - 8,124,KAZ,2:04
Turnover foul,4.0,1,1,8,ESP,2.0,LEITON P,1 - 8,100,ESP,1:40
Action shot - Goal,11.0,1,2,8,ESP,2.0,MIRSHINA A,2 - 8,92,KAZ,1:32
20 sec. exclusion in centre,8.0,1,2,8,ESP,4.0,PENA P,2 - 8,11,ESP,0:11
Action shot - Goal,6.0,1,2,9,ESP,2.0,PAREJA J,2 - 9,71,ESP,1:11
Turnover foul,12.0,1,2,9,ESP,2.0,MUSSAROVA A,2 - 9,41,KAZ,0:41
Turnover foul,7.0,1,2,9,ESP,2.0,ESPAR C,2 - 9,27,ESP,0:27
Action shot - Saved,4.0,1,2,9,ESP,2.0,TUROVA A,2 - 9,0,KAZ,0:00
Starting goalkeeper,1.0,1,2,9,ESP,3.0,ZHARKIMBAYEVA A,2 - 9,480,KAZ,8:00
Starting goalkeeper,1.0,1,2,9,ESP,3.0,ESTER L,2 - 9,480,ESP,8:00
Sprint won possession,10.0,1,2,9,ESP,3.0,TARRAGO R,2 - 9,480,ESP,8:00
Action shot - Saved,10.0,1,2,9,ESP,3.0,TARRAGO R,2 - 9,458,ESP,7:38
Turnover foul,3.0,1,2,9,ESP,3.0,AKILBAYEVA A,2 - 9,430,KAZ,7:10
Steal,2.0,1,2,9,ESP,3.0,BACH M,2 - 9,430,ESP,7:10
Turnover foul,11.0,1,2,9,ESP,3.0,GARCIA M,2 - 9,405,ESP,6:45
Turnover foul,3.0,1,2,9,ESP,3.0,AKILBAYEVA A,2 - 9,377,KAZ,6:17
Steal,8.0,1,2,9,ESP,3.0,PENA P,2 - 9,377,ESP,6:17
Centre shot - Goal,11.0,1,2,10,ESP,3.0,GARCIA M,2 - 10,355,ESP,5:55
Turnover foul,2.0,1,2,10,ESP,3.0,YEGEMBERDIYEVA A,2 - 10,323,KAZ,5:23
Steal,4.0,1,2,10,ESP,3.0,LEITON P,2 - 10,323,ESP,5:23
Action shot - Saved,6.0,1,2,10,ESP,3.0,PAREJA J,2 - 10,311,ESP,5:11
Turnover foul,7.0,1,2,10,ESP,3.0,ESPAR C,2 - 10,301,ESP,5:01
20 sec. exclusion in field,7.0,1,2,10,ESP,3.0,ESPAR C,2 - 10,301,ESP,5:01
Extra player shot - Post,11.0,1,2,10,ESP,3.0,MIRSHINA A,2 - 10,272,KAZ,4:32
Turnover foul,5.0,1,2,10,ESP,3.0,ZAKIROVA K,2 - 10,211,KAZ,3:31
Steal,8.0,1,2,10,ESP,3.0,PENA P,2 - 10,211,ESP,3:31
Turnover foul,4.0,1,2,10,ESP,3.0,LEITON P,2 - 10,189,ESP,3:09
Steal,8.0,1,2,10,ESP,3.0,PENA P,2 - 10,189,ESP,3:09
Action shot - Saved,12.0,1,2,10,ESP,3.0,MUSSAROVA A,2 - 10,165,KAZ,2:45
Turnover foul,8.0,1,2,10,ESP,3.0,PENA P,2 - 10,134,ESP,2:14
Steal,1.0,1,2,10,ESP,3.0,ZHARKIMBAYEVA A,2 - 10,134,KAZ,2:14
Time-Out,,1,2,10,ESP,3.0,,2 - 10,134,KAZ,2:14
Centre shot - Saved,11.0,1,2,10,ESP,3.0,GARCIA M,2 - 10,80,ESP,1:20
Turnover foul,5.0,1,2,10,ESP,3.0,ZAKIROVA K,2 - 10,45,KAZ,0:45
Steal,5.0,1,2,10,ESP,3.0,ORTIZ M,2 - 10,45,ESP,0:45
20 sec. exclusion in centre,4.0,1,2,10,ESP,3.0,TUROVA A,2 - 10,34,KAZ,0:34
Exclusion with substitution,4.0,1,2,10,ESP,3.0,TUROVA A,2 - 10,34,KAZ,0:34
Action shot - Saved,9.0,1,2,10,ESP,3.0,FORCA J,2 - 10,18,ESP,0:18
5m shot - Goal,11.0,1,3,10,ESP,3.0,MIRSHINA A,3 - 10,1,KAZ,0:01
Starting goalkeeper,1.0,1,3,10,ESP,4.0,ZHARKIMBAYEVA A,3 - 10,480,KAZ,8:00
Starting goalkeeper,1.0,1,3,10,ESP,4.0,ESTER L,3 - 10,480,ESP,8:00
Sprint won possession,6.0,1,3,10,ESP,4.0,PAREJA J,3 - 10,480,ESP,8:00
Turnover foul,10.0,1,3,10,ESP,4.0,TARRAGO R,3 - 10,443,ESP,7:23
5m shot - Missed,8.0,1,3,10,ESP,4.0,PENA P,3 - 10,432,ESP,7:12
Action shot - Goal,3.0,1,3,11,ESP,4.0,ESPAR A,3 - 11,417,ESP,6:57
20 sec. exclusion in centre,5.0,1,3,11,ESP,4.0,ORTIZ M,3 - 11,399,ESP,6:39
Exclusion with substitution,5.0,1,3,11,ESP,4.0,ORTIZ M,3 - 11,399,ESP,6:39
20 sec. exclusion in centre,5.0,1,3,11,ESP,4.0,ZAKIROVA K,3 - 11,367,KAZ,6:07
Centre shot - Goal,10.0,1,3,12,ESP,4.0,TARRAGO R,3 - 12,342,ESP,5:42
Goalkeeper substitution,13.0,1,3,12,ESP,4.0,HERRERA P,3 - 12,341,ESP,5:41
Action shot - Goal,3.0,1,4,12,ESP,4.0,AKILBAYEVA A,4 - 12,314,KAZ,5:14
Action shot - Goal,6.0,1,4,13,ESP,4.0,PAREJA J,4 - 13,293,ESP,4:53
Centre shot - Goal,7.0,1,5,13,ESP,4.0,MYRZABEKOVA Z,5 - 13,281,KAZ,4:41
Action shot - Post,10.0,1,5,13,ESP,4.0,TARRAGO R,5 - 13,255,ESP,4:15
Turnover foul,7.0,1,5,13,ESP,4.0,ESPAR C,5 - 13,220,ESP,3:40
20 sec. exclusion in field,10.0,1,5,13,ESP,4.0,TARRAGO R,5 - 13,193,ESP,3:13
Extra player shot - Goal,11.0,1,6,13,ESP,4.0,MIRSHINA A,6 - 13,174,KAZ,2:54
20 sec. exclusion in centre,2.0,1,6,13,ESP,4.0,YEGEMBERDIYEVA A,6 - 13,152,KAZ,2:32
Extra player shot - Saved,7.0,1,6,13,ESP,4.0,ESPAR C,6 - 13,130,ESP,2:10
5m shot - Saved,10.0,1,6,13,ESP,4.0,ROGA D,6 - 13,102,KAZ,1:42
Turnover foul,9.0,1,6,13,ESP,4.0,FORCA J,6 - 13,91,ESP,1:31
Time-Out,,1,6,13,ESP,4.0,,6 - 13,90,KAZ,1:30
Turnover foul,11.0,1,6,13,ESP,4.0,MIRSHINA A,6 - 13,72,KAZ,1:12
Steal,11.0,1,6,13,ESP,4.0,GARCIA M,6 - 13,72,ESP,1:12
20 sec. exclusion in centre,2.0,1,6,13,ESP,4.0,YEGEMBERDIYEVA A,6 - 13,62,KAZ,1:02
Extra player shot - Saved,10.0,1,6,13,ESP,4.0,TARRAGO R,6 - 13,55,ESP,0:55
20 sec. exclusion in centre,11.0,1,6,13,ESP,4.0,MIRSHINA A,6 - 13,37,KAZ,0:37
Extra player shot - Goal,10.0,1,6,14,ESP,4.0,TARRAGO R,6 - 14,23,ESP,0:23
Extra player shot - Goal,5.0,1,7,14,ESP,4.0,ZAKIROVA K,7 - 14,2,KAZ,0:02
Starting goalkeeper,1.0,2,0,0,CAN,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,1.0,2,0,0,CAN,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Sprint won possession,12.0,2,0,0,CAN,1.0,PERREAULT D,0 - 0,480,CAN,8:00
Turnover foul,5.0,2,0,0,CAN,1.0,ZAKIROVA K,0 - 0,451,KAZ,7:31
20 sec. exclusion in centre,12.0,2,0,0,CAN,1.0,MUSSAROVA A,0 - 0,407,KAZ,6:47
Action shot - Goal,7.0,2,0,1,CAN,1.0,BEKHAZI J,1 - 0,384,CAN,6:24
20 sec. exclusion in centre,3.0,2,0,1,CAN,1.0,MONTON K,1 - 0,365,CAN,6:05
Extra player shot - Post,8.0,2,0,1,CAN,1.0,SAICHUK O,1 - 0,344,KAZ,5:44
Extra player shot - Saved,5.0,2,0,1,CAN,1.0,ZAKIROVA K,1 - 0,330,KAZ,5:30
Action shot - Goal,2.0,2,0,2,CAN,1.0,ALOGBO K,2 - 0,311,CAN,5:11
Action shot - Post,4.0,2,0,2,CAN,1.0,TUROVA A,2 - 0,293,KAZ,4:53
5m shot - Post,5.0,2,0,2,CAN,1.0,EGGENS M,2 - 0,267,CAN,4:27
Action shot - Saved,7.0,2,0,2,CAN,1.0,MYRZABEKOVA Z,2 - 0,250,KAZ,4:10
Action shot - Missed,11.0,2,0,2,CAN,1.0,VALIN S,2 - 0,222,CAN,3:42
Penalty foul,5.0,2,0,2,CAN,1.0,EGGENS M,2 - 0,196,CAN,3:16
Penalty shot - Goal,11.0,2,1,2,CAN,1.0,MIRSHINA A,2 - 1,196,KAZ,3:16
Action shot - Goal,5.0,2,1,3,CAN,1.0,EGGENS M,3 - 1,171,CAN,2:51
5m shot - Missed,12.0,2,1,3,CAN,1.0,MUSSAROVA A,3 - 1,147,KAZ,2:27
5m shot - Goal,9.0,2,1,4,CAN,1.0,EGGENS C,4 - 1,125,CAN,2:05
Turnover foul,5.0,2,1,4,CAN,1.0,ZAKIROVA K,4 - 1,99,KAZ,1:39
Action shot - Missed,9.0,2,1,4,CAN,1.0,EGGENS C,4 - 1,76,CAN,1:16
Time-Out,,2,1,4,CAN,1.0,,4 - 1,76,KAZ,1:16
Turnover foul,4.0,2,1,4,CAN,1.0,TUROVA A,4 - 1,53,KAZ,0:53
Steal,10.0,2,1,4,CAN,1.0,ROBINSON C,4 - 1,53,CAN,0:53
Starting goalkeeper,1.0,2,1,4,CAN,2.0,GAUDREAULT J,4 - 1,480,CAN,8:00
Starting goalkeeper,1.0,2,1,4,CAN,2.0,ZHARKIMBAYEVA A,4 - 1,480,KAZ,8:00
Sprint won possession,12.0,2,1,4,CAN,2.0,PERREAULT D,4 - 1,480,CAN,8:00
Turnover foul,12.0,2,1,4,CAN,2.0,PERREAULT D,4 - 1,452,CAN,7:32
Turnover foul,12.0,2,1,4,CAN,2.0,MUSSAROVA A,4 - 1,417,KAZ,6:57
20 sec. exclusion in centre,12.0,2,1,4,CAN,2.0,MUSSAROVA A,4 - 1,404,KAZ,6:44
Extra player shot - Goal,8.0,2,1,5,CAN,2.0,FOURNIER S,5 - 1,395,CAN,6:35
Turnover foul,4.0,2,1,5,CAN,2.0,TUROVA A,5 - 1,370,KAZ,6:10
Steal,2.0,2,1,5,CAN,2.0,ALOGBO K,5 - 1,370,CAN,6:10
Action shot - Goal,6.0,2,1,6,CAN,2.0,MCKEE K,6 - 1,359,CAN,5:59
Action shot - Saved,3.0,2,1,6,CAN,2.0,AKILBAYEVA A,6 - 1,340,KAZ,5:40
Turnover foul,3.0,2,1,6,CAN,2.0,MONTON K,6 - 1,332,CAN,5:32
Counter attack - Goal,11.0,2,2,6,CAN,2.0,MIRSHINA A,6 - 2,325,KAZ,5:25
Action shot - Saved,4.0,2,2,6,CAN,2.0,WRIGHT E,6 - 2,298,CAN,4:58
Turnover foul,4.0,2,2,6,CAN,2.0,WRIGHT E,6 - 2,277,CAN,4:37
Steal,11.0,2,2,6,CAN,2.0,MIRSHINA A,6 - 2,277,KAZ,4:37
Action shot - Missed,6.0,2,2,6,CAN,2.0,MCKEE K,6 - 2,225,CAN,3:45
5m shot - Blocked,5.0,2,2,6,CAN,2.0,ZAKIROVA K,6 - 2,202,KAZ,3:22
Turnover foul,4.0,2,2,6,CAN,2.0,TUROVA A,6 - 2,182,KAZ,3:02
Steal,2.0,2,2,6,CAN,2.0,ALOGBO K,6 - 2,182,CAN,3:02
Counter attack - Post,11.0,2,2,6,CAN,2.0,VALIN S,6 - 2,168,CAN,2:48
Time-Out,,2,2,6,CAN,2.0,,6 - 2,145,CAN,2:25
Action shot - Saved,5.0,2,2,6,CAN,2.0,EGGENS M,6 - 2,127,CAN,2:07
Action shot - Saved,3.0,2,2,6,CAN,2.0,AKILBAYEVA A,6 - 2,101,KAZ,1:41
Turnover foul,5.0,2,2,6,CAN,2.0,EGGENS M,6 - 2,77,CAN,1:17
Steal,4.0,2,2,6,CAN,2.0,TUROVA A,6 - 2,77,KAZ,1:17
Time-Out,,2,2,6,CAN,2.0,,6 - 2,77,KAZ,1:17
20 sec. exclusion in centre,7.0,2,2,6,CAN,2.0,BEKHAZI J,6 - 2,51,CAN,0:51
Centre shot - Saved,11.0,2,2,6,CAN,2.0,MIRSHINA A,6 - 2,32,KAZ,0:32
Starting goalkeeper,13.0,2,2,6,CAN,3.0,COLTERJOHN N,6 - 2,480,CAN,8:00
Starting goalkeeper,1.0,2,2,6,CAN,3.0,ZHARKIMBAYEVA A,6 - 2,480,KAZ,8:00
Sprint won possession,5.0,2,2,6,CAN,3.0,ZAKIROVA K,6 - 2,480,KAZ,8:00
5m shot - Blocked,8.0,2,2,6,CAN,3.0,SAICHUK O,6 - 2,455,KAZ,7:35
Turnover foul,12.0,2,2,6,CAN,3.0,MUSSAROVA A,6 - 2,411,KAZ,6:51
5m shot - Saved,5.0,2,2,6,CAN,3.0,EGGENS M,6 - 2,386,CAN,6:26
Turnover foul,5.0,2,2,6,CAN,3.0,ZAKIROVA K,6 - 2,354,KAZ,5:54
Turnover foul,6.0,2,2,6,CAN,3.0,MCKEE K,6 - 2,325,CAN,5:25
Turnover foul,8.0,2,2,6,CAN,3.0,SAICHUK O,6 - 2,303,KAZ,5:03
Turnover foul,11.0,2,2,6,CAN,3.0,VALIN S,6 - 2,276,CAN,4:36
Time-Out,,2,2,6,CAN,3.0,,6 - 2,276,KAZ,4:36
Turnover foul,5.0,2,2,6,CAN,3.0,ZAKIROVA K,6 - 2,264,KAZ,4:24
Turnover foul,5.0,2,2,6,CAN,3.0,ZAKIROVA K,6 - 2,251,KAZ,4:11
Action shot - Goal,7.0,2,2,7,CAN,3.0,BEKHAZI J,7 - 2,223,CAN,3:43
Steal,2.0,2,2,7,CAN,3.0,ALOGBO K,7 - 2,223,CAN,3:43
5m shot - Saved,2.0,2,2,7,CAN,3.0,ALOGBO K,7 - 2,199,CAN,3:19
