Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,0,CAN,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Starting goalkeeper,1.0,1,0,0,CAN,1.0,RADENOVIC M,0 - 0,480,CAN,8:00
Sprint won possession,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,480,MNE,8:00
Turnover foul,7.0,1,0,0,CAN,1.0,DRASKOVIC D,0 - 0,457,MNE,7:37
Turnover foul,5.0,1,0,0,CAN,1.0,HALAJIAN M,0 - 0,437,CAN,7:17
Steal,11.0,1,0,0,CAN,1.0,CUCKOVIC U,0 - 0,437,MNE,7:17
Action shot - Missed,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,411,MNE,6:51
5m shot - Missed,7.0,1,0,0,CAN,1.0,D'SOUZA R,0 - 0,382,CAN,6:22
Action shot - Saved,9.0,1,0,0,CAN,1.0,RADOVIC D,0 - 0,359,MNE,5:59
Turnover foul,6.0,1,0,0,CAN,1.0,ROBINSON S,0 - 0,353,CAN,5:53
Action shot - Saved,2.0,1,0,0,CAN,1.0,BRGULJAN D,0 - 0,330,MNE,5:30
20 sec. exclusion in field,11.0,1,0,0,CAN,1.0,CUCKOVIC U,0 - 0,309,MNE,5:09
Turnover foul,6.0,1,0,0,CAN,1.0,ROBINSON S,0 - 0,283,CAN,4:43
Steal,4.0,1,0,0,CAN,1.0,PETKOVIC M,0 - 0,283,MNE,4:43
5m shot - Goal,6.0,1,1,0,CAN,1.0,RADOVIC A,1 - 0,259,MNE,4:19
20 sec. exclusion in centre,3.0,1,1,0,CAN,1.0,BANICEVIC B,1 - 0,235,MNE,3:55
Action shot - Blocked,4.0,1,1,0,CAN,1.0,CONSTANTIN-BICARI,1 - 0,217,CAN,3:37
Counter attack - Saved,2.0,1,1,0,CAN,1.0,BRGULJAN D,1 - 0,198,MNE,3:18
Counter attack - Goal,4.0,1,1,1,CAN,1.0,CONSTANTIN-BICARI,1 - 1,188,CAN,3:08
20 sec. exclusion in field,6.0,1,1,1,CAN,1.0,ROBINSON S,1 - 1,164,CAN,2:44
Extra player shot - Goal,4.0,1,2,1,CAN,1.0,PETKOVIC M,2 - 1,157,MNE,2:37
Action shot - Saved,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,129,CAN,2:09
5m shot - Missed,6.0,1,2,1,CAN,1.0,RADOVIC A,2 - 1,109,MNE,1:49
5m shot - Missed,5.0,1,2,1,CAN,1.0,HALAJIAN M,2 - 1,85,CAN,1:25
Time-Out,,1,2,1,CAN,1.0,,2 - 1,85,MNE,1:25
Turnover foul,9.0,1,2,1,CAN,1.0,RADOVIC D,2 - 1,60,MNE,1:00
Steal,2.0,1,2,1,CAN,1.0,PATTERSON G,2 - 1,60,CAN,1:00
20 sec. exclusion in field,9.0,1,2,1,CAN,1.0,RADOVIC D,2 - 1,59,MNE,0:59
Time-Out,,1,2,1,CAN,1.0,,2 - 1,59,CAN,0:59
Steal,8.0,1,2,1,CAN,1.0,UKROPINA A,2 - 1,43,MNE,0:43
Counter attack - Goal,4.0,1,3,1,CAN,1.0,PETKOVIC M,3 - 1,32,MNE,0:32
5m shot - Saved,11.0,1,3,1,CAN,1.0,TORAKIS G,3 - 1,3,CAN,0:03
Starting goalkeeper,13.0,1,3,1,CAN,2.0,SCEPANOVIC M,3 - 1,480,MNE,8:00
Starting goalkeeper,1.0,1,3,1,CAN,2.0,RADENOVIC M,3 - 1,480,CAN,8:00
Sprint won possession,8.0,1,3,1,CAN,2.0,UKROPINA A,3 - 1,480,MNE,8:00
5m shot - Saved,5.0,1,3,1,CAN,2.0,HALAJIAN M,3 - 1,424,CAN,7:04
20 sec. exclusion in field,6.0,1,3,1,CAN,2.0,RADOVIC A,3 - 1,403,MNE,6:43
Extra player shot - Goal,11.0,1,3,2,CAN,2.0,TORAKIS G,3 - 2,381,CAN,6:21
Centre shot - Goal,10.0,1,4,2,CAN,2.0,MISIC S,4 - 2,354,MNE,5:54
5m shot - Post,12.0,1,4,2,CAN,2.0,THUMWOOD D,4 - 2,324,CAN,5:24
20 sec. exclusion in centre,6.0,1,4,2,CAN,2.0,ROBINSON S,4 - 2,306,CAN,5:06
Extra player shot - Blocked,8.0,1,4,2,CAN,2.0,UKROPINA A,4 - 2,289,MNE,4:49
Action shot - Goal,7.0,1,4,3,CAN,2.0,D'SOUZA R,4 - 3,257,CAN,4:17
20 sec. exclusion in centre,11.0,1,4,3,CAN,2.0,TORAKIS G,4 - 3,238,CAN,3:58
Extra player shot - Post,5.0,1,4,3,CAN,2.0,BRGULJAN D,4 - 3,221,MNE,3:41
20 sec. exclusion in centre,3.0,1,4,3,CAN,2.0,BANICEVIC B,4 - 3,197,MNE,3:17
Time-Out,,1,4,3,CAN,2.0,,4 - 3,197,CAN,3:17
Turnover foul,6.0,1,4,3,CAN,2.0,ROBINSON S,4 - 3,174,CAN,2:54
Steal,6.0,1,4,3,CAN,2.0,RADOVIC A,4 - 3,174,MNE,2:54
Centre shot - Saved,11.0,1,4,3,CAN,2.0,CUCKOVIC U,4 - 3,145,MNE,2:25
Turnover foul,4.0,1,4,3,CAN,2.0,CONSTANTIN-BICARI,4 - 3,119,CAN,1:59
Time-Out,,1,4,3,CAN,2.0,,4 - 3,118,MNE,1:58
Action shot - Goal,7.0,1,5,3,CAN,2.0,DRASKOVIC D,5 - 3,94,MNE,1:34
Turnover foul,4.0,1,5,3,CAN,2.0,CONSTANTIN-BICARI,5 - 3,71,CAN,1:11
Turnover foul,12.0,1,5,3,CAN,2.0,MURISIC N,5 - 3,41,MNE,0:41
5m shot - Missed,4.0,1,5,3,CAN,2.0,CONSTANTIN-BICARI,5 - 3,17,CAN,0:17
Action shot - Saved,5.0,1,5,3,CAN,2.0,BRGULJAN D,5 - 3,2,MNE,0:02
Starting goalkeeper,13.0,1,5,3,CAN,3.0,SCEPANOVIC M,5 - 3,480,MNE,8:00
Starting goalkeeper,1.0,1,5,3,CAN,3.0,RADENOVIC M,5 - 3,480,CAN,8:00
Sprint won possession,8.0,1,5,3,CAN,3.0,UKROPINA A,5 - 3,480,MNE,8:00
5m shot - Saved,6.0,1,5,3,CAN,3.0,RADOVIC A,5 - 3,451,MNE,7:31
5m shot - Blocked,7.0,1,5,3,CAN,3.0,DRASKOVIC D,5 - 3,426,MNE,7:06
Turnover foul,10.0,1,5,3,CAN,3.0,MISIC S,5 - 3,411,MNE,6:51
5m shot - Saved,6.0,1,5,3,CAN,3.0,ROBINSON S,5 - 3,381,CAN,6:21
20 sec. exclusion in centre,9.0,1,5,3,CAN,3.0,RADOJCIC D,5 - 3,361,CAN,6:01
Action shot - Goal,4.0,1,6,3,CAN,3.0,PETKOVIC M,6 - 3,339,MNE,5:39
5m shot - Saved,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,310,CAN,5:10
Action shot - Saved,8.0,1,6,3,CAN,3.0,UKROPINA A,6 - 3,284,MNE,4:44
Action shot - Saved,2.0,1,6,3,CAN,3.0,BRGULJAN D,6 - 3,261,MNE,4:21
5m shot - Blocked,12.0,1,6,3,CAN,3.0,THUMWOOD D,6 - 3,233,CAN,3:53
Action shot - Missed,8.0,1,6,3,CAN,3.0,UKROPINA A,6 - 3,211,MNE,3:31
20 sec. exclusion in field,11.0,1,6,3,CAN,3.0,CUCKOVIC U,6 - 3,211,MNE,3:31
Time-Out,,1,6,3,CAN,3.0,,6 - 3,211,CAN,3:31
Extra player shot - Saved,10.0,1,6,3,CAN,3.0,SOLEIMANIPAK A,6 - 3,191,CAN,3:11
Action shot - Saved,4.0,1,6,3,CAN,3.0,PETKOVIC M,6 - 3,166,MNE,2:46
5m shot - Goal,12.0,1,6,4,CAN,3.0,THUMWOOD D,6 - 4,135,CAN,2:15
Turnover foul,5.0,1,6,4,CAN,3.0,BRGULJAN D,6 - 4,117,MNE,1:57
5m shot - Saved,11.0,1,6,4,CAN,3.0,TORAKIS G,6 - 4,92,CAN,1:32
Action shot - Post,6.0,1,6,4,CAN,3.0,RADOVIC A,6 - 4,74,MNE,1:14
5m shot - Saved,12.0,1,6,4,CAN,3.0,THUMWOOD D,6 - 4,51,CAN,0:51
Time-Out,,1,6,4,CAN,3.0,,6 - 4,51,MNE,0:51
Action shot - Saved,6.0,1,6,4,CAN,3.0,RADOVIC A,6 - 4,34,MNE,0:34
5m shot - Missed,13.0,1,6,4,CAN,3.0,SCEPANOVIC M,6 - 4,1,MNE,0:01
Starting goalkeeper,13.0,1,6,4,CAN,4.0,SCEPANOVIC M,6 - 4,480,MNE,8:00
Starting goalkeeper,1.0,1,6,4,CAN,4.0,RADENOVIC M,6 - 4,480,CAN,8:00
Sprint won possession,2.0,1,6,4,CAN,4.0,BRGULJAN D,6 - 4,480,MNE,8:00
Centre shot - Goal,12.0,1,7,4,CAN,4.0,MURISIC N,7 - 4,456,MNE,7:36
Centre shot - Goal,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,398,MNE,6:38
Turnover foul,4.0,1,8,4,CAN,4.0,CONSTANTIN-BICARI,8 - 4,370,CAN,6:10
Action shot - Saved,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,366,MNE,6:06
Turnover foul,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,354,MNE,5:54
20 sec. exclusion in field,5.0,1,8,4,CAN,4.0,BRGULJAN D,8 - 4,353,MNE,5:53
Action shot - Goal,10.0,1,8,5,CAN,4.0,SOLEIMANIPAK A,8 - 5,330,CAN,5:30
Turnover foul,7.0,1,8,5,CAN,4.0,DRASKOVIC D,8 - 5,299,MNE,4:59
Steal,11.0,1,8,5,CAN,4.0,TORAKIS G,8 - 5,299,CAN,4:59
5m shot - Saved,6.0,1,8,5,CAN,4.0,ROBINSON S,8 - 5,275,CAN,4:35
Counter attack - Missed,4.0,1,8,5,CAN,4.0,PETKOVIC M,8 - 5,263,MNE,4:23
5m shot - Post,4.0,1,8,5,CAN,4.0,CONSTANTIN-BICARI,8 - 5,234,CAN,3:54
20 sec. exclusion in centre,6.0,1,8,5,CAN,4.0,ROBINSON S,8 - 5,205,CAN,3:25
Exclusion with substitution,6.0,1,8,5,CAN,4.0,ROBINSON S,8 - 5,205,CAN,3:25
Extra player shot - Saved,10.0,1,8,5,CAN,4.0,MISIC S,8 - 5,202,MNE,3:22
Extra player shot - Missed,10.0,1,8,5,CAN,4.0,MISIC S,8 - 5,202,MNE,3:22
5m shot - Goal,4.0,1,8,6,CAN,4.0,CONSTANTIN-BICARI,8 - 6,174,CAN,2:54
Yellow card,,1,8,6,CAN,4.0,Team Official,8 - 6,174,CAN,2:54
Turnover foul,6.0,1,8,6,CAN,4.0,RADOVIC A,8 - 6,147,MNE,2:27
Steal,1.0,1,8,6,CAN,4.0,RADENOVIC M,8 - 6,147,CAN,2:27
Turnover foul,11.0,1,8,6,CAN,4.0,CUCKOVIC U,8 - 6,100,MNE,1:40
20 sec. exclusion in field,12.0,1,8,6,CAN,4.0,MURISIC N,8 - 6,100,MNE,1:40
Time-Out,,1,8,6,CAN,4.0,,8 - 6,100,CAN,1:40
Extra player shot - Goal,7.0,1,8,7,CAN,4.0,D'SOUZA R,8 - 7,86,CAN,1:26
Action shot - Blocked,2.0,1,8,7,CAN,4.0,BRGULJAN D,8 - 7,57,MNE,0:57
Turnover foul,8.0,1,8,7,CAN,4.0,UKROPINA A,8 - 7,37,MNE,0:37
20 sec. exclusion in centre,8.0,1,8,7,CAN,4.0,UKROPINA A,8 - 7,37,MNE,0:37
Extra player shot - Goal,11.0,1,8,8,CAN,4.0,TORAKIS G,8 - 8,21,CAN,0:21
Time-Out,,1,8,8,CAN,4.0,,8 - 8,21,MNE,0:21
Starting goalkeeper,1.0,2,0,0,BRA,1.0,SORO S,0 - 0,480,BRA,8:00
Starting goalkeeper,13.0,2,0,0,BRA,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,2.0,2,0,0,BRA,1.0,BRGULJAN D,0 - 0,480,MNE,8:00
5m shot - Saved,7.0,2,0,0,BRA,1.0,DRASKOVIC D,0 - 0,451,MNE,7:31
5m shot - Saved,9.0,2,0,0,BRA,1.0,RADOVIC D,0 - 0,422,MNE,7:02
Steal,4.0,2,0,0,BRA,1.0,COUTINHO G,0 - 0,400,BRA,6:40
Turnover foul,10.0,2,0,0,BRA,1.0,MISIC S,0 - 0,400,MNE,6:40
5m shot - Saved,2.0,2,0,0,BRA,1.0,CRUZ A,0 - 0,375,BRA,6:15
20 sec. exclusion in centre,9.0,2,0,0,BRA,1.0,ROCHA B,0 - 0,354,BRA,5:54
Extra player shot - Goal,11.0,2,1,0,BRA,1.0,CUCKOVIC U,0 - 1,334,MNE,5:34
5m shot - Post,12.0,2,1,0,BRA,1.0,FREITAS R,0 - 1,307,BRA,5:07
Centre shot - Goal,10.0,2,2,0,BRA,1.0,MISIC S,0 - 2,279,MNE,4:39
Centre shot - Saved,5.0,2,2,0,BRA,1.0,SILVA L,0 - 2,255,BRA,4:15
Centre shot - Missed,10.0,2,2,0,BRA,1.0,MISIC S,0 - 2,231,MNE,3:51
Centre shot - Saved,4.0,2,2,0,BRA,1.0,COUTINHO G,0 - 2,208,BRA,3:28
20 sec. exclusion in centre,4.0,2,2,0,BRA,1.0,COUTINHO G,0 - 2,161,BRA,2:41
Extra player shot - Saved,8.0,2,2,0,BRA,1.0,UKROPINA A,0 - 2,150,MNE,2:30
Turnover foul,5.0,2,2,0,BRA,1.0,SILVA L,0 - 2,127,BRA,2:07
Steal,7.0,2,2,0,BRA,1.0,DRASKOVIC D,0 - 2,127,MNE,2:07
Action shot - Saved,7.0,2,2,0,BRA,1.0,DRASKOVIC D,0 - 2,113,MNE,1:53
Penalty foul,3.0,2,2,0,BRA,1.0,ALMEIDA G,0 - 2,88,BRA,1:28
Time-Out,,2,2,0,BRA,1.0,,0 - 2,88,MNE,1:28
Penalty shot - Goal,6.0,2,3,0,BRA,1.0,RADOVIC A,0 - 3,88,MNE,1:28
Turnover foul,10.0,2,3,0,BRA,1.0,CARRULO H,0 - 3,57,BRA,0:57
Steal,11.0,2,3,0,BRA,1.0,CUCKOVIC U,0 - 3,57,MNE,0:57
Steal,3.0,2,3,0,BRA,1.0,ALMEIDA G,0 - 3,40,BRA,0:40
Time-Out,,2,3,0,BRA,1.0,,0 - 3,40,BRA,0:40
Turnover foul,2.0,2,3,0,BRA,1.0,CRUZ A,0 - 3,14,BRA,0:14
Steal,13.0,2,3,0,BRA,1.0,SCEPANOVIC M,0 - 3,14,MNE,0:14
Action shot - Goal,4.0,2,4,0,BRA,1.0,PETKOVIC M,0 - 4,1,MNE,0:01
Starting goalkeeper,1.0,2,4,0,BRA,2.0,SORO S,0 - 4,480,BRA,8:00
Starting goalkeeper,13.0,2,4,0,BRA,2.0,SCEPANOVIC M,0 - 4,480,MNE,8:00
Sprint won possession,2.0,2,4,0,BRA,2.0,CRUZ A,0 - 4,480,BRA,8:00
5m shot - Goal,11.0,2,4,1,BRA,2.0,GUIMARAES G,1 - 4,452,BRA,7:32
Turnover foul,12.0,2,4,1,BRA,2.0,MURISIC N,1 - 4,435,MNE,7:15
Centre shot - Missed,12.0,2,4,1,BRA,2.0,MURISIC N,1 - 4,433,MNE,7:13
Action shot - Saved,4.0,2,4,1,BRA,2.0,COUTINHO G,1 - 4,404,BRA,6:44
20 sec. exclusion in centre,8.0,2,4,1,BRA,2.0,STELLET M,1 - 4,376,BRA,6:16
Action shot - Saved,5.0,2,4,1,BRA,2.0,BRGULJAN D,1 - 4,352,MNE,5:52
Action shot - Goal,3.0,2,5,1,BRA,2.0,BANICEVIC B,1 - 5,352,MNE,5:52
Action shot - Saved,11.0,2,5,1,BRA,2.0,GUIMARAES G,1 - 5,323,BRA,5:23
Turnover foul,9.0,2,5,1,BRA,2.0,RADOVIC D,1 - 5,304,MNE,5:04
20 sec. exclusion in centre,9.0,2,5,1,BRA,2.0,RADOVIC D,1 - 5,285,MNE,4:45
Action shot - Post,4.0,2,5,1,BRA,2.0,COUTINHO G,1 - 5,261,BRA,4:21
5m shot - Blocked,11.0,2,5,1,BRA,2.0,CUCKOVIC U,1 - 5,237,MNE,3:57
Turnover foul,11.0,2,5,1,BRA,2.0,GUIMARAES G,1 - 5,216,BRA,3:36
Steal,7.0,2,5,1,BRA,2.0,DRASKOVIC D,1 - 5,216,MNE,3:36
Centre shot - Saved,12.0,2,5,1,BRA,2.0,MURISIC N,1 - 5,187,MNE,3:07
20 sec. exclusion in centre,11.0,2,5,1,BRA,2.0,GUIMARAES G,1 - 5,171,BRA,2:51
Time-Out,,2,5,1,BRA,2.0,,1 - 5,171,MNE,2:51
Turnover foul,8.0,2,5,1,BRA,2.0,UKROPINA A,1 - 5,144,MNE,2:24
Steal,4.0,2,5,1,BRA,2.0,COUTINHO G,1 - 5,144,BRA,2:24
5m shot - Goal,4.0,2,5,2,BRA,2.0,COUTINHO G,2 - 5,120,BRA,2:00
5m shot - Goal,7.0,2,6,2,BRA,2.0,DRASKOVIC D,2 - 6,92,MNE,1:32
20 sec. exclusion in centre,6.0,2,6,2,BRA,2.0,RADOVIC A,2 - 6,67,MNE,1:07
Time-Out,,2,6,2,BRA,2.0,,2 - 6,67,BRA,1:07
Turnover foul,9.0,2,6,2,BRA,2.0,ROCHA B,2 - 6,47,BRA,0:47
5m shot - Saved,7.0,2,6,2,BRA,2.0,DRASKOVIC D,2 - 6,37,MNE,0:37
Turnover foul,4.0,2,6,2,BRA,2.0,COUTINHO G,2 - 6,18,BRA,0:18
Steal,13.0,2,6,2,BRA,2.0,SCEPANOVIC M,2 - 6,18,MNE,0:18
Centre shot - Goal,4.0,2,7,2,BRA,2.0,PETKOVIC M,2 - 7,1,MNE,0:01
Steal,10.0,2,7,2,BRA,4.0,MISIC S,2 - 7,104,MNE,1:44
5m shot - Goal,6.0,2,14,5,BRA,4.0,RADOVIC A,5 - 14,94,MNE,1:34
20 sec. exclusion in centre,8.0,2,14,5,BRA,4.0,UKROPINA A,5 - 14,74,MNE,1:14
Time-Out,,2,14,5,BRA,4.0,,5 - 14,74,BRA,1:14
Starting goalkeeper,1.0,2,14,5,BRA,3.0,SORO S,5 - 14,480,BRA,8:00
Starting goalkeeper,1.0,2,14,5,BRA,3.0,LAZOVIC D,5 - 14,480,MNE,8:00
Sprint won possession,2.0,2,14,5,BRA,3.0,BRGULJAN D,5 - 14,480,MNE,8:00
Turnover foul,2.0,2,14,5,BRA,3.0,BRGULJAN D,5 - 14,451,MNE,7:31
Turnover foul,11.0,2,14,5,BRA,3.0,GUIMARAES G,5 - 14,431,BRA,7:11
Steal,1.0,2,14,5,BRA,3.0,LAZOVIC D,5 - 14,431,MNE,7:11
5m shot - Post,6.0,2,14,5,BRA,3.0,RADOVIC A,5 - 14,407,MNE,6:47
Turnover foul,2.0,2,14,5,BRA,3.0,BRGULJAN D,5 - 14,391,MNE,6:31
Steal,3.0,2,14,5,BRA,3.0,ALMEIDA G,5 - 14,391,BRA,6:31
Action shot - Goal,11.0,2,7,3,BRA,3.0,GUIMARAES G,3 - 7,369,BRA,6:09
20 sec. exclusion in centre,9.0,2,7,3,BRA,3.0,ROCHA B,3 - 7,355,BRA,5:55
Extra player shot - Goal,9.0,2,8,3,BRA,3.0,RADOVIC D,3 - 8,349,MNE,5:49
Turnover foul,11.0,2,8,3,BRA,3.0,GUIMARAES G,3 - 8,324,BRA,5:24
Steal,9.0,2,8,3,BRA,3.0,RADOVIC D,3 - 8,324,MNE,5:24
Turnover foul,9.0,2,8,3,BRA,3.0,RADOVIC D,3 - 8,297,MNE,4:57
Steal,4.0,2,8,3,BRA,3.0,COUTINHO G,3 - 8,297,BRA,4:57
Turnover foul,4.0,2,8,3,BRA,3.0,COUTINHO G,3 - 8,261,BRA,4:21
Steal,11.0,2,8,3,BRA,3.0,CUCKOVIC U,3 - 8,261,MNE,4:21
Turnover foul,9.0,2,8,3,BRA,3.0,RADOVIC D,3 - 8,249,MNE,4:09
Steal,11.0,2,8,3,BRA,3.0,GUIMARAES G,3 - 8,249,BRA,4:09
Time-Out,,2,8,3,BRA,3.0,,3 - 8,247,BRA,4:07
5m shot - Blocked,2.0,2,8,3,BRA,3.0,CRUZ A,3 - 8,214,BRA,3:34
20 sec. exclusion in centre,2.0,2,8,3,BRA,3.0,CRUZ A,3 - 8,210,BRA,3:30
Extra player shot - Goal,11.0,2,9,3,BRA,3.0,CUCKOVIC U,3 - 9,196,MNE,3:16
5m shot - Blocked,11.0,2,9,3,BRA,3.0,GUIMARAES G,3 - 9,172,BRA,2:52
Turnover foul,2.0,2,9,3,BRA,3.0,BRGULJAN D,3 - 9,149,MNE,2:29
Steal,11.0,2,9,3,BRA,3.0,GUIMARAES G,3 - 9,149,BRA,2:29
5m shot - Saved,11.0,2,9,3,BRA,3.0,GUIMARAES G,3 - 9,124,BRA,2:04
Action shot - Blocked,12.0,2,9,3,BRA,3.0,FREITAS R,3 - 9,96,BRA,1:36
Time-Out,,2,9,3,BRA,3.0,,3 - 9,96,MNE,1:36
Centre shot - Goal,5.0,2,10,3,BRA,3.0,BRGULJAN D,3 - 10,81,MNE,1:21
Action shot - Goal,10.0,2,10,4,BRA,3.0,CARRULO H,4 - 10,58,BRA,0:58
5m shot - Goal,5.0,2,11,4,BRA,3.0,BRGULJAN D,4 - 11,33,MNE,0:33
Turnover foul,4.0,2,11,4,BRA,3.0,COUTINHO G,4 - 11,12,BRA,0:12
Steal,1.0,2,11,4,BRA,3.0,LAZOVIC D,4 - 11,12,MNE,0:12
5m shot - Saved,8.0,2,11,4,BRA,3.0,UKROPINA A,4 - 11,1,MNE,0:01
Starting goalkeeper,1.0,2,11,4,BRA,4.0,SORO S,4 - 11,480,BRA,8:00
Starting goalkeeper,1.0,2,11,4,BRA,4.0,LAZOVIC D,4 - 11,480,MNE,8:00
Sprint won possession,2.0,2,11,4,BRA,4.0,BRGULJAN D,4 - 11,480,MNE,8:00
Turnover foul,7.0,2,11,4,BRA,4.0,DRASKOVIC D,4 - 11,451,MNE,7:31
Steal,5.0,2,11,4,BRA,4.0,SILVA L,4 - 11,451,BRA,7:31
5m shot - Post,4.0,2,11,4,BRA,4.0,COUTINHO G,4 - 11,422,BRA,7:02
Centre shot - Goal,7.0,2,12,4,BRA,4.0,DRASKOVIC D,4 - 12,393,MNE,6:33
5m shot - Saved,11.0,2,12,4,BRA,4.0,GUIMARAES G,4 - 12,367,BRA,6:07
Action shot - Missed,12.0,2,12,4,BRA,4.0,MURISIC N,4 - 12,341,MNE,5:41
Turnover foul,11.0,2,12,4,BRA,4.0,GUIMARAES G,4 - 12,314,BRA,5:14
Steal,1.0,2,12,4,BRA,4.0,LAZOVIC D,4 - 12,314,MNE,5:14
Action shot - Post,3.0,2,12,4,BRA,4.0,BANICEVIC B,4 - 12,297,MNE,4:57
Turnover foul,9.0,2,12,4,BRA,4.0,ROCHA B,4 - 12,261,BRA,4:21
Steal,7.0,2,12,4,BRA,4.0,DRASKOVIC D,4 - 12,261,MNE,4:21
20 sec. exclusion in centre,4.0,2,12,4,BRA,4.0,COUTINHO G,4 - 12,244,BRA,4:04
Time-Out,,2,12,4,BRA,4.0,,4 - 12,244,MNE,4:04
Extra player shot - Missed,5.0,2,12,4,BRA,4.0,BRGULJAN D,4 - 12,217,MNE,3:37
5m shot - Post,4.0,2,12,4,BRA,4.0,COUTINHO G,4 - 12,197,BRA,3:17
Penalty foul,4.0,2,12,4,BRA,4.0,COUTINHO G,4 - 12,182,BRA,3:02
Exclusion with substitution,4.0,2,12,4,BRA,4.0,COUTINHO G,4 - 12,182,BRA,3:02
Penalty shot - Goal,6.0,2,13,4,BRA,4.0,RADOVIC A,4 - 13,182,MNE,3:02
5m shot - Goal,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,154,BRA,2:34
Turnover foul,10.0,2,13,5,BRA,4.0,MISIC S,5 - 13,134,MNE,2:14
Goalkeeper substitution,13.0,2,13,5,BRA,4.0,SILVA L,5 - 13,133,BRA,2:13
Turnover foul,8.0,2,13,5,BRA,4.0,STELLET M,5 - 13,104,BRA,1:44
Action shot - Missed,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,53,BRA,0:53
Action shot - Saved,4.0,2,13,5,BRA,4.0,PETKOVIC M,5 - 13,37,MNE,0:37
5m shot - Saved,3.0,2,13,5,BRA,4.0,ALMEIDA G,5 - 13,9,BRA,0:09
5m shot - Missed,5.0,2,13,5,BRA,4.0,BRGULJAN D,5 - 13,1,MNE,0:01
Starting goalkeeper,1.0,3,0,0,KAZ,1.0,LAZOVIC D,0 - 0,480,MNE,8:00
Starting goalkeeper,13.0,3,0,0,KAZ,1.0,SHLEMOV V,0 - 0,480,KAZ,8:00
Sprint won possession,2.0,3,0,0,KAZ,1.0,MEDVEDEV Y,0 - 0,480,KAZ,8:00
5m shot - Missed,7.0,3,0,0,KAZ,1.0,SHAKENOV M,0 - 0,454,KAZ,7:34
Centre shot - Saved,12.0,3,0,0,KAZ,1.0,MURISIC N,0 - 0,432,MNE,7:12
5m shot - Saved,6.0,3,0,0,KAZ,1.0,SHMIDER A,0 - 0,406,KAZ,6:46
Centre shot - Saved,11.0,3,0,0,KAZ,1.0,MANAFOV R,0 - 0,384,KAZ,6:24
