Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,1,0,0,HUN,1.0,KESZTHELYI R,0 - 0,451,HUN,7:31,Saved,0
Centre shot,10.0,1,0,1,HUN,1.0,BUJKA B,0 - 1,448,HUN,7:28,Goal,1
Action shot,12.0,1,0,1,HUN,1.0,SZILAGYI D,0 - 1,392,HUN,6:32,Missed,0
Centre shot,10.0,1,0,2,HUN,1.0,BUJKA B,0 - 2,357,HUN,5:57,Goal,1
Action shot,11.0,1,0,2,HUN,1.0,CSABAI D,0 - 2,330,HUN,5:30,Saved,0
Counter attack,12.0,1,0,3,HUN,1.0,SZILAGYI D,0 - 3,285,HUN,4:45,Goal,1
Counter attack,12.0,1,0,4,HUN,1.0,SZILAGYI D,0 - 4,179,HUN,2:59,Goal,1
Centre shot,2.0,1,0,4,HUN,1.0,ARIMA Y,0 - 4,78,JPN,1:18,Blocked,0
Extra player shot,6.0,1,1,4,HUN,1.0,YAMAMOTO M,1 - 4,44,JPN,0:44,Goal,1
Action shot,12.0,1,1,4,HUN,1.0,SUZUKI K,1 - 4,16,JPN,0:16,Saved,0
Centre shot,10.0,1,1,5,HUN,2.0,BUJKA B,1 - 5,462,HUN,7:42,Goal,1
Counter attack,8.0,1,1,6,HUN,2.0,KESZTHELYI R,1 - 6,437,HUN,7:17,Goal,1
Centre shot,12.0,1,1,6,HUN,2.0,SZILAGYI D,1 - 6,403,HUN,6:43,Saved,0
Action shot,2.0,1,1,6,HUN,2.0,ARIMA Y,1 - 6,382,JPN,6:22,Blocked,0
Centre shot,10.0,1,1,6,HUN,2.0,BUJKA B,1 - 6,353,HUN,5:53,Saved,0
Action shot,6.0,1,7,17,HUN,4.0,YAMAMOTO M,7 - 17,438,JPN,7:18,Goal,1
Action shot,7.0,1,8,17,HUN,4.0,INABA A,8 - 17,404,JPN,6:44,Goal,1
Extra player shot,8.0,1,8,18,HUN,4.0,KESZTHELYI R,8 - 18,366,HUN,6:06,Goal,1
5m shot,5.0,1,8,18,HUN,4.0,SAKANOUE C,8 - 18,302,JPN,5:02,Saved,0
5m shot,9.0,1,8,19,HUN,4.0,TOTH I,8 - 19,277,HUN,4:37,Goal,1
Action shot,2.0,1,9,19,HUN,4.0,ARIMA Y,9 - 19,257,JPN,4:17,Goal,1
Extra player shot,2.0,1,2,6,HUN,2.0,ARIMA Y,2 - 6,309,JPN,5:09,Goal,1
Centre shot,2.0,1,2,7,HUN,2.0,CZIGANY D,2 - 7,291,HUN,4:51,Goal,1
Centre shot,7.0,1,2,7,HUN,2.0,INABA A,2 - 7,253,JPN,4:13,Blocked,0
Centre shot,10.0,1,2,8,HUN,2.0,BUJKA B,2 - 8,239,HUN,3:59,Goal,1
Action shot,3.0,1,2,9,HUN,2.0,ANTAL D,2 - 9,214,HUN,3:34,Goal,1
Centre shot,10.0,1,2,10,HUN,2.0,BUJKA B,2 - 10,176,HUN,2:56,Goal,1
Centre shot,6.0,1,3,10,HUN,2.0,YAMAMOTO M,3 - 10,136,JPN,2:16,Goal,1
Centre shot,9.0,1,3,11,HUN,2.0,TOTH I,3 - 11,48,HUN,0:48,Goal,1
5m shot,2.0,1,3,11,HUN,2.0,ARIMA Y,3 - 11,28,JPN,0:28,Saved,0
Centre shot,4.0,1,3,12,HUN,2.0,GURISATTI G,3 - 12,8,HUN,0:08,Goal,1
5m shot,3.0,1,4,12,HUN,2.0,KAZAMA Y,4 - 12,1,JPN,0:01,Goal,1
5m shot,2.0,1,4,12,HUN,2.0,CZIGANY D,4 - 12,1,HUN,0:01,Saved,0
Centre shot,2.0,1,5,12,HUN,3.0,ARIMA Y,5 - 12,408,JPN,6:48,Goal,1
Centre shot,3.0,1,5,13,HUN,3.0,ANTAL D,5 - 13,360,HUN,6:00,Goal,1
Counter attack,8.0,1,5,14,HUN,3.0,KESZTHELYI R,5 - 14,270,HUN,4:30,Goal,1
Centre shot,9.0,1,5,15,HUN,3.0,TOTH I,5 - 15,244,HUN,4:04,Goal,1
Centre shot,10.0,1,5,15,HUN,3.0,NORO M,5 - 15,225,JPN,3:45,Saved,0
Action shot,8.0,1,5,15,HUN,3.0,KESZTHELYI R,5 - 15,199,HUN,3:19,Post,0
Centre shot,6.0,1,6,15,HUN,3.0,YAMAMOTO M,6 - 15,169,JPN,2:49,Goal,1
Centre shot,4.0,1,6,16,HUN,3.0,GURISATTI G,6 - 16,142,HUN,2:22,Goal,1
Action shot,5.0,1,6,16,HUN,3.0,SZUCS G,6 - 16,86,HUN,1:26,Post,0
Action shot,2.0,1,6,16,HUN,3.0,ARIMA Y,6 - 16,74,JPN,1:14,Post,0
Action shot,8.0,1,6,17,HUN,3.0,KESZTHELYI R,6 - 17,53,HUN,0:53,Goal,1
Action shot,4.0,1,6,17,HUN,3.0,GURISATTI G,6 - 17,27,HUN,0:27,Saved,0
Action shot,9.0,1,6,17,HUN,4.0,TOTH I,6 - 17,243,HUN,4:03,Missed,0
Action shot,8.0,1,6,17,HUN,4.0,KESZTHELYI R,6 - 17,210,HUN,3:30,Post,0
Centre shot,6.0,1,6,17,HUN,4.0,YAMAMOTO M,6 - 17,195,JPN,3:15,Saved,0
Action shot,8.0,1,6,17,HUN,4.0,KESZTHELYI R,6 - 17,130,HUN,2:10,Post,0
5m shot,2.0,1,10,19,HUN,4.0,ARIMA Y,10 - 19,113,JPN,1:53,Goal,1
Action shot,8.0,1,10,19,HUN,4.0,KESZTHELYI R,10 - 19,84,HUN,1:24,Post,0
Centre shot,9.0,1,10,20,HUN,4.0,TOTH I,10 - 20,83,HUN,1:23,Goal,1
Action shot,9.0,1,10,20,HUN,4.0,HOSOYA K,10 - 20,21,JPN,0:21,Saved,0
Extra player shot,7.0,1,11,20,HUN,4.0,INABA A,11 - 20,1,JPN,0:01,Goal,1
Action shot,7.0,2,0,0,NED,1.0,INABA A,0 - 0,421,JPN,7:01,Post,0
Centre shot,4.0,2,0,1,NED,1.0,van der SLOOT S,0 - 1,409,NED,6:49,Goal,1
Centre shot,8.0,2,0,2,NED,1.0,SEVENICH V,0 - 2,383,NED,6:23,Goal,1
Counter attack,2.0,2,0,3,NED,1.0,SMIT Y,0 - 3,356,NED,5:56,Goal,1
Counter attack,4.0,2,0,4,NED,1.0,van der SLOOT S,0 - 4,327,NED,5:27,Goal,1
Action shot,10.0,2,0,4,NED,1.0,NORO M,0 - 4,300,JPN,5:00,Saved,0
Centre shot,8.0,2,0,4,NED,1.0,SEVENICH V,0 - 4,284,NED,4:44,Saved,0
5m shot,2.0,2,0,4,NED,1.0,ARIMA Y,0 - 4,256,JPN,4:16,Blocked,0
Centre shot,4.0,2,0,5,NED,1.0,van der SLOOT S,0 - 5,236,NED,3:56,Goal,1
Extra player shot,2.0,2,0,6,NED,1.0,SMIT Y,0 - 6,174,NED,2:54,Goal,1
5m shot,3.0,2,0,6,NED,1.0,KAZAMA Y,0 - 6,141,JPN,2:21,Post,0
Action shot,2.0,2,0,6,NED,1.0,ARIMA Y,0 - 6,88,JPN,1:28,Missed,0
5m shot,2.0,2,0,6,NED,1.0,ARIMA Y,0 - 6,54,JPN,0:54,Missed,0
Action shot,7.0,2,0,6,NED,1.0,NIJHUIS M,0 - 6,42,NED,0:42,Saved,0
Action shot,5.0,2,0,7,NED,1.0,GENEE A,0 - 7,3,NED,0:03,Goal,1
5m shot,8.0,2,0,7,NED,1.0,NIIZAWA Y,0 - 7,1,JPN,0:01,Saved,0
Centre shot,2.0,2,0,7,NED,2.0,ARIMA Y,0 - 7,431,JPN,7:11,Saved,0
Extra player shot,4.0,2,0,8,NED,2.0,van der SLOOT S,0 - 8,393,NED,6:33,Goal,1
5m shot,4.0,2,1,8,NED,2.0,MAGARIYAMA S,1 - 8,362,JPN,6:02,Goal,1
Centre shot,6.0,2,1,8,NED,2.0,STOMPHORST N,1 - 8,338,NED,5:38,Saved,0
5m shot,11.0,2,2,8,NED,2.0,TOKUMOTO M,2 - 8,321,JPN,5:21,Goal,1
5m shot,12.0,2,2,8,NED,2.0,SUZUKI K,2 - 8,279,JPN,4:39,Missed,0
Extra player shot,6.0,2,2,8,NED,2.0,STOMPHORST N,2 - 8,245,NED,4:05,Missed,0
5m shot,10.0,2,2,8,NED,3.0,NORO M,2 - 8,1,JPN,0:01,Saved,0
Extra player shot,2.0,2,2,8,NED,4.0,SMIT Y,2 - 8,448,NED,7:28,Blocked,0
Action shot,2.0,2,2,8,NED,4.0,ARIMA Y,2 - 8,433,JPN,7:13,Blocked,0
Action shot,9.0,2,7,16,NED,4.0,MEGENS M,7 - 16,420,NED,7:00,Goal,1
Extra player shot,6.0,2,8,16,NED,4.0,YAMAMOTO M,8 - 16,388,JPN,6:28,Goal,1
Centre shot,8.0,2,8,17,NED,4.0,SEVENICH V,8 - 17,372,NED,6:12,Goal,1
Action shot,5.0,2,8,17,NED,4.0,SAKANOUE C,8 - 17,343,JPN,5:43,Blocked,0
Action shot,9.0,2,8,17,NED,4.0,MEGENS M,8 - 17,300,NED,5:00,Post,0
5m shot,5.0,2,8,17,NED,4.0,SAKANOUE C,8 - 17,267,JPN,4:27,Post,0
Penalty shot,12.0,2,3,8,NED,2.0,SUZUKI K,3 - 8,242,JPN,4:02,Goal,1
Centre shot,8.0,2,3,9,NED,2.0,SEVENICH V,3 - 9,220,NED,3:40,Goal,1
Counter attack,2.0,2,4,9,NED,2.0,ARIMA Y,4 - 9,167,JPN,2:47,Goal,1
Extra player shot,4.0,2,4,10,NED,2.0,van der SLOOT S,4 - 10,96,NED,1:36,Goal,1
Extra player shot,2.0,2,5,10,NED,2.0,ARIMA Y,5 - 10,72,JPN,1:12,Goal,1
Centre shot,2.0,2,5,10,NED,2.0,SMIT Y,5 - 10,52,NED,0:52,Saved,0
Centre shot,4.0,2,5,10,NED,2.0,van der SLOOT S,5 - 10,25,NED,0:25,Post,0
5m shot,2.0,2,5,10,NED,3.0,SMIT Y,5 - 10,451,NED,7:31,Saved,0
Action shot,7.0,2,5,10,NED,3.0,NIJHUIS M,5 - 10,404,NED,6:44,Saved,0
Extra player shot,12.0,2,5,10,NED,3.0,SUZUKI K,5 - 10,382,JPN,6:22,Saved,0
Extra player shot,12.0,2,5,10,NED,3.0,JOUSTRA K,5 - 10,340,NED,5:40,Missed,0
5m shot,2.0,2,6,10,NED,3.0,ARIMA Y,6 - 10,331,JPN,5:31,Goal,1
Action shot,9.0,2,6,11,NED,3.0,MEGENS M,6 - 11,277,NED,4:37,Goal,1
Penalty shot,9.0,2,6,12,NED,3.0,MEGENS M,6 - 12,250,NED,4:10,Goal,1
Action shot,7.0,2,6,12,NED,3.0,INABA A,6 - 12,182,JPN,3:02,Saved,0
Action shot,4.0,2,6,12,NED,3.0,van der SLOOT S,6 - 12,178,NED,2:58,Saved,0
Action shot,7.0,2,6,12,NED,3.0,INABA A,6 - 12,172,JPN,2:52,Post,0
5m shot,5.0,2,6,12,NED,3.0,SAKANOUE C,6 - 12,161,JPN,2:41,Saved,0
Centre shot,4.0,2,6,12,NED,3.0,MAGARIYAMA S,6 - 12,118,JPN,1:58,Saved,0
Centre shot,4.0,2,6,13,NED,3.0,van der SLOOT S,6 - 13,103,NED,1:43,Goal,1
Centre shot,3.0,2,7,13,NED,3.0,KAZAMA Y,7 - 13,60,JPN,1:00,Goal,1
Action shot,7.0,2,7,14,NED,3.0,NIJHUIS M,7 - 14,44,NED,0:44,Goal,1
Centre shot,2.0,2,7,14,NED,3.0,ARIMA Y,7 - 14,21,JPN,0:21,Saved,0
Action shot,8.0,2,7,15,NED,3.0,SEVENICH V,7 - 15,6,NED,0:06,Goal,1
Extra player shot,6.0,2,7,15,NED,4.0,YAMAMOTO M,7 - 15,235,JPN,3:55,Blocked,0
5m shot,11.0,2,8,18,NED,4.0,KLAASSEN L,8 - 18,208,NED,3:28,Goal,1
5m shot,7.0,2,8,18,NED,4.0,INABA A,8 - 18,149,JPN,2:29,Post,0
5m shot,7.0,2,8,19,NED,4.0,NIJHUIS M,8 - 19,135,NED,2:15,Goal,1
5m shot,2.0,2,8,19,NED,4.0,ARIMA Y,8 - 19,113,JPN,1:53,Missed,0
Extra player shot,7.0,2,8,19,NED,4.0,NIJHUIS M,8 - 19,65,NED,1:05,Saved,0
Penalty shot,3.0,2,8,19,NED,4.0,KAZAMA Y,8 - 19,65,JPN,1:05,Saved,0
Action shot,11.0,2,8,19,NED,4.0,KLAASSEN L,8 - 19,46,NED,0:46,Missed,0
Centre shot,2.0,2,8,19,NED,4.0,ARIMA Y,8 - 19,31,JPN,0:31,Saved,0
5m shot,11.0,2,8,20,NED,4.0,KLAASSEN L,8 - 20,4,NED,0:04,Goal,1
5m shot,2.0,2,8,20,NED,4.0,ARIMA Y,8 - 20,1,JPN,0:01,Saved,0
Action shot,12.0,3,1,0,FRA,1.0,SUZUKI K,1 - 0,442,JPN,7:22,Goal,1
Centre shot,6.0,3,1,1,FRA,1.0,MAHIEU G,1 - 1,416,FRA,6:56,Goal,1
5m shot,5.0,3,2,1,FRA,1.0,SAKANOUE C,2 - 1,393,JPN,6:33,Goal,1
Centre shot,6.0,3,2,1,FRA,1.0,MAHIEU G,2 - 1,362,FRA,6:02,Post,0
Centre shot,6.0,3,2,1,FRA,1.0,YAMAMOTO M,2 - 1,344,JPN,5:44,Post,0
Extra player shot,11.0,3,2,2,FRA,1.0,BARBIEUX M,2 - 2,318,FRA,5:18,Goal,1
5m shot,2.0,3,2,2,FRA,1.0,ARIMA Y,2 - 2,301,JPN,5:01,Post,0
Extra player shot,10.0,3,2,2,FRA,1.0,NORO M,2 - 2,225,JPN,3:45,Post,0
Action shot,12.0,3,2,2,FRA,1.0,SUZUKI K,2 - 2,149,JPN,2:29,Missed,0
Action shot,7.0,3,2,2,FRA,1.0,VALVERDE C,2 - 2,130,FRA,2:10,Saved,0
Counter attack,7.0,3,3,2,FRA,1.0,INABA A,3 - 2,117,JPN,1:57,Goal,1
5m shot,2.0,3,3,2,FRA,1.0,ARIMA Y,3 - 2,84,JPN,1:24,Post,0
Action shot,3.0,3,3,2,FRA,1.0,KAZAMA Y,3 - 2,36,JPN,0:36,Saved,0
Extra player shot,5.0,3,3,3,FRA,1.0,GUILLET L,3 - 3,1,FRA,0:01,Goal,1
Action shot,7.0,3,3,3,FRA,2.0,INABA A,3 - 3,451,JPN,7:31,Saved,0
5m shot,7.0,3,3,3,FRA,2.0,VALVERDE C,3 - 3,425,FRA,7:05,Saved,0
5m shot,10.0,3,3,3,FRA,2.0,NORO M,3 - 3,401,JPN,6:41,Missed,0
Extra player shot,12.0,3,3,4,FRA,2.0,DAULE A,3 - 4,368,FRA,6:08,Goal,1
Extra player shot,2.0,3,3,5,FRA,2.0,MILLOT E,3 - 5,313,FRA,5:13,Goal,1
Centre shot,6.0,3,3,5,FRA,2.0,MAHIEU G,3 - 5,269,FRA,4:29,Missed,0
5m shot,7.0,3,3,5,FRA,2.0,INABA A,3 - 5,240,JPN,4:00,Post,0
Action shot,5.0,3,3,5,FRA,2.0,GUILLET L,3 - 5,209,FRA,3:29,Saved,0
Action shot,5.0,3,3,5,FRA,2.0,SAKANOUE C,3 - 5,195,JPN,3:15,Saved,0
Counter attack,7.0,3,3,5,FRA,4.0,INABA A,3 - 5,311,JPN,5:11,Post,0
